Question No,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Option
81,Hard,Observed i>1 indicates?,Dissociation,Association,No ionization,Impurity,A
82,Hard,Observed i<1 indicates?,Association,Dissociation,Ideal solution,None,A
83,Hard,Relative lowering of vapour pressure is proportional to?,Mole fraction of solute,Density,Temperature,Pressure,A
84,Hard,"For dilute solutions, osmotic pressure helps determine?",Molar mass,Density,Volume,Colour,A
85,Hard,Ideal solution obeys?,Raoult's law,Henry's law only,Boyle's law,Charles law,A
86,Hard,Observed i>1 indicates?,Dissociation,Association,No ionization,Impurity,A
87,Hard,Observed i<1 indicates?,Association,Dissociation,Ideal solution,None,A
88,Hard,Relative lowering of vapour pressure is proportional to?,Mole fraction of solute,Density,Temperature,Pressure,A
89,Hard,"For dilute solutions, osmotic pressure helps determine?",Molar mass,Density,Volume,Colour,A
90,Hard,Ideal solution obeys?,Raoult's law,Henry's law only,Boyle's law,Charles law,A
91,Hard,Observed i>1 indicates?,Dissociation,Association,No ionization,Impurity,A
92,Hard,Observed i<1 indicates?,Association,Dissociation,Ideal solution,None,A
93,Hard,Relative lowering of vapour pressure is proportional to?,Mole fraction of solute,Density,Temperature,Pressure,A
94,Hard,"For dilute solutions, osmotic pressure helps determine?",Molar mass,Density,Volume,Colour,A
95,Hard,Ideal solution obeys?,Raoult's law,Henry's law only,Boyle's law,Charles law,A
96,Hard,Observed i>1 indicates?,Dissociation,Association,No ionization,Impurity,A
97,Hard,Observed i<1 indicates?,Association,Dissociation,Ideal solution,None,A
98,Hard,Relative lowering of vapour pressure is proportional to?,Mole fraction of solute,Density,Temperature,Pressure,A
99,Hard,"For dilute solutions, osmotic pressure helps determine?",Molar mass,Density,Volume,Colour,A
100,Hard,Ideal solution obeys?,Raoult's law,Henry's law only,Boyle's law,Charles law,A
101,Hard,Observed i>1 indicates?,Dissociation,Association,No ionization,Impurity,A
102,Hard,Observed i<1 indicates?,Association,Dissociation,Ideal solution,None,A
103,Hard,Relative lowering of vapour pressure is proportional to?,Mole fraction of solute,Density,Temperature,Pressure,A
104,Hard,"For dilute solutions, osmotic pressure helps determine?",Molar mass,Density,Volume,Colour,A
105,Hard,Ideal solution obeys?,Raoult's law,Henry's law only,Boyle's law,Charles law,A
106,Hard,Observed i>1 indicates?,Dissociation,Association,No ionization,Impurity,A
107,Hard,Observed i<1 indicates?,Association,Dissociation,Ideal solution,None,A
108,Hard,Relative lowering of vapour pressure is proportional to?,Mole fraction of solute,Density,Temperature,Pressure,A
109,Hard,"For dilute solutions, osmotic pressure helps determine?",Molar mass,Density,Volume,Colour,A
110,Hard,Ideal solution obeys?,Raoult's law,Henry's law only,Boyle's law,Charles law,A
111,Hard,Observed i>1 indicates?,Dissociation,Association,No ionization,Impurity,A
112,Hard,Observed i<1 indicates?,Association,Dissociation,Ideal solution,None,A
113,Hard,Relative lowering of vapour pressure is proportional to?,Mole fraction of solute,Density,Temperature,Pressure,A
114,Hard,"For dilute solutions, osmotic pressure helps determine?",Molar mass,Density,Volume,Colour,A
115,Hard,Ideal solution obeys?,Raoult's law,Henry's law only,Boyle's law,Charles law,A
116,Hard,Observed i>1 indicates?,Dissociation,Association,No ionization,Impurity,A
117,Hard,Observed i<1 indicates?,Association,Dissociation,Ideal solution,None,A
118,Hard,Relative lowering of vapour pressure is proportional to?,Mole fraction of solute,Density,Temperature,Pressure,A
119,Hard,"For dilute solutions, osmotic pressure helps determine?",Molar mass,Density,Volume,Colour,A
120,Hard,Ideal solution obeys?,Raoult's law,Henry's law only,Boyle's law,Charles law,A
