Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Biology,Human Reproduction,The enlarged end of the penis is called the:,Prepuce,Glans penis,Foreskin,Corpus cavernosum,B,easy
12,Biology,Human Reproduction,"The male accessory glands include paired seminal vesicles, a prostate, and paired:",Bulbourethral glands,Bartholin's glands,Mammary glands,Thyroid glands,A,easy
12,Biology,Human Reproduction,Secretions of which gland help in the lubrication of the penis?,Prostate gland,Bulbourethral gland,Seminal vesicle,Pituitary gland,B,moderate
12,Biology,Human Reproduction,Seminal plasma is rich in:,"Glucose, iron, and enzymes","Fructose, calcium, and certain enzymes","Sucrose, calcium, and mucus","Fructose, iron, and proteins",B,hard
12,Biology,Human Reproduction,The primary female sex organs are:,Oviducts,Uterus,Ovaries,Vagina,C,easy
12,Biology,Human Reproduction,Each ovary is connected to the pelvic wall and uterus by:,Ligaments,Tendons,Muscles,Cartilage,A,moderate
12,Biology,Human Reproduction,The ovarian stroma is divided into a peripheral cortex and an inner:,Medulla,Matrix,Lumen,Follicle,A,easy
12,Biology,Human Reproduction,"The female accessory ducts include oviducts, vagina, and:",Cervix,Uterus,Vulva,Clitoris,B,easy
12,Biology,Human Reproduction,The funnel-shaped part of the fallopian tube closer to the ovary is the:,Ampulla,Isthmus,Infundibulum,Fimbriae,C,moderate
12,Biology,Human Reproduction,The finger-like projections at the edges of the infundibulum are called:,Villi,Fimbriae,Cilia,Microvilli,B,easy
12,Biology,Human Reproduction,What is the primary function of fimbriae?,Produce ova,Provide site for fertilization,Help in collection of the ovum after ovulation,Secrete estrogen,C,moderate
12,Biology,Human Reproduction,The wider part of the oviduct is called the:,Infundibulum,Ampulla,Isthmus,Cervix,B,moderate
12,Biology,Human Reproduction,The last part of the oviduct that joins the uterus is the:,Ampulla,Infundibulum,Isthmus,Fimbriae,C,hard
12,Biology,Human Reproduction,The uterus is also known as the:,Womb,Cervix,Birth canal,Oviduct,A,easy
12,Biology,Human Reproduction,The uterus opens into the vagina through a narrow:,Isthmus,Ampulla,Cervix,Clitoris,C,easy
12,Biology,Human Reproduction,The cervical canal along with the vagina forms the:,Birth canal,Uterine cavity,Fallopian tube,Vulva,A,easy
12,Biology,Human Reproduction,The outermost thin membranous layer of the uterine wall is the:,Endometrium,Myometrium,Perimetrium,Mesometrium,C,moderate
12,Biology,Human Reproduction,Which layer of the uterus exhibits strong contraction during delivery of the baby?,Perimetrium,Myometrium,Endometrium,Cervical mucosa,B,easy
12,Biology,Human Reproduction,Which layer of the uterus undergoes cyclical changes during the menstrual cycle?,Endometrium,Myometrium,Perimetrium,Stroma,A,easy
12,Biology,Human Reproduction,The cushion of fatty tissue covered by skin and pubic hair in female external genitalia is:,Labia majora,Labia minora,Mons pubis,Clitoris,C,moderate
12,Biology,Human Reproduction,The fleshy folds of tissue extending down from the mons pubis are:,Labia minora,Labia majora,Hymen,Fimbriae,B,moderate
12,Biology,Human Reproduction,The tiny finger-like structure lying at the upper junction of the two labia minora above the urethral opening is the:,Hymen,Clitoris,Mons pubis,Vagina,B,moderate
12,Biology,Human Reproduction,The glandular tissue of each breast is divided into how many mammary lobes?,5-10,15-20,20-30,30-40,B,hard
12,Biology,Human Reproduction,The cells of alveoli in the mammary lobes secrete:,Colostrum only,Milk,Estrogen,Progesterone,B,easy
12,Biology,Human Reproduction,The mammary tubules of each lobe join to form a:,Mammary duct,Lactiferous duct,Mammary ampulla,Areola,A,hard
12,Biology,Human Reproduction,Spermatogenesis begins at which stage of life?,Embryonic stage,Birth,Puberty,Old age,C,easy
12,Biology,Human Reproduction,The primary spermatocytes undergo the first meiotic division to form:,Spermatids,Secondary spermatocytes,Spermatozoa,Spermatogonia,B,moderate
12,Biology,Human Reproduction,The transformation of spermatids into spermatozoa is called:,Spermatogenesis,Spermiogenesis,Spermiation,Oogenesis,B,hard
12,Biology,Human Reproduction,The release of sperms from the seminiferous tubules is known as:,Ejaculation,Spermiogenesis,Spermiation,Insemination,C,moderate
12,Biology,Human Reproduction,Spermatogenesis is initiated due to a significant increase in the secretion of:,LH,FSH,GnRH,Testosterone,C,moderate
12,Biology,Human Reproduction,GnRH acts on the anterior pituitary to stimulate the secretion of:,Oxytocin and Prolactin,LH and FSH,Estrogen and Progesterone,Testosterone and Androgen,B,easy
12,Biology,Human Reproduction,LH acts on which cells to stimulate the synthesis of androgens?,Sertoli cells,Leydig cells,Spermatogonia,Primary spermatocytes,B,moderate
12,Biology,Human Reproduction,FSH acts on which cells to help in the process of spermiogenesis?,Leydig cells,Sertoli cells,Spermatozoa,Epididymis cells,B,moderate
12,Biology,Human Reproduction,The cap-like structure covering the anterior portion of the sperm head is the:,Acrosome,Nucleus,Centriole,Mitochondria,A,easy
12,Biology,Human Reproduction,The acrosome is filled with enzymes that help in:,Motility,Energy production,Fertilization of the ovum,Sperm maturation,C,moderate
12,Biology,Human Reproduction,Which part of the sperm contains numerous mitochondria?,Head,Neck,Middle piece,Tail,C,easy
12,Biology,Human Reproduction,The human male ejaculates about how many sperms during a coitus?,20 to 30 million,200 to 300 million,500 to 600 million,1 to 2 billion,B,hard
12,Biology,Human Reproduction,"For normal fertility, what percentage of sperms must have normal shape and size?",At least 30%,At least 40%,At least 60%,At least 80%,C,hard
12,Biology,Human Reproduction,"For normal fertility, what percentage of sperms must show vigorous motility?",At least 20%,At least 40%,At least 60%,At least 80%,B,hard
12,Biology,Human Reproduction,Oogenesis is initiated during which stage?,Puberty,Embryonic development stage,Birth,Menarche,B,moderate
12,Biology,Human Reproduction,The primary oocytes are temporarily arrested in which stage of cell division?,Prophase I,Metaphase I,Prophase II,Metaphase II,A,hard
12,Biology,Human Reproduction,A primary oocyte surrounded by a single layer of granulosa cells is called a:,Secondary follicle,Tertiary follicle,Primary follicle,Graafian follicle,C,easy
12,Biology,Human Reproduction,"At puberty, approximately how many primary follicles are left in each ovary?","10,000-20,000","60,000-80,000","1,00,000-1,20,000","2,00,000-3,00,000",B,hard
12,Biology,Human Reproduction,The fluid-filled cavity characteristic of a tertiary follicle is the:,Antrum,Theca,Zona pellucida,Corona radiata,A,moderate
12,Biology,Human Reproduction,The primary oocyte completes its first meiotic division within the:,Primary follicle,Secondary follicle,Tertiary follicle,Graafian follicle,C,hard
12,Biology,Human Reproduction,The first meiotic division of the primary oocyte is unequal and results in the formation of a large secondary oocyte and a tiny:,Tertiary oocyte,First polar body,Second polar body,Ovum,B,moderate
12,Biology,Human Reproduction,The mature follicle is known as the:,Tertiary follicle,Corpus luteum,Graafian follicle,Primary follicle,C,easy
12,Biology,Human Reproduction,The secondary oocyte forms a new membrane around it called the:,Corona radiata,Zona pellucida,Plasma membrane,Theca externa,B,moderate
12,Biology,Human Reproduction,The release of the secondary oocyte from the ovary is called:,Menstruation,Implantation,Ovulation,Parturition,C,easy
12,Biology,Human Reproduction,The first menstruation begins at puberty and is called:,Menopause,Menarche,Amenorrhea,Dysmenorrhea,B,easy
12,Biology,Human Reproduction,"In human females, menstruation is repeated at an average interval of about:",20/21 days,28/29 days,35/36 days,40/41 days,B,easy
12,Biology,Human Reproduction,The menstrual flow results due to the breakdown of the:,Myometrium,Endometrium,Perimetrium,Ovarian follicle,B,moderate
12,Biology,Human Reproduction,Menstruation only occurs if:,The released ovum is fertilized,The released ovum is not fertilized,Implantation occurs,Progesterone levels are high,B,moderate
12,Biology,Human Reproduction,"During the follicular phase, the growing follicles secrete mainly:",Progesterone,Estrogens,Testosterone,Relaxin,B,easy
12,Biology,Human Reproduction,"Both LH and FSH attain a peak level in the middle of the cycle, about:",Day 5,Day 14,Day 21,Day 28,B,easy
12,Biology,Human Reproduction,Rapid secretion of LH leading to its maximum level during the mid-cycle is called:,FSH surge,LH surge,Estrogen peak,Ovulation surge,B,easy
12,Biology,Human Reproduction,The LH surge induces the rupture of the:,Primary follicle,Corpus luteum,Graafian follicle,Endometrium,C,moderate
12,Biology,Human Reproduction,"After ovulation, the remaining parts of the Graafian follicle transform into the:",Corpus albicans,Corpus luteum,Primary follicle,Secondary oocyte,B,moderate
12,Biology,Human Reproduction,"The corpus luteum secretes large amounts of which hormone, essential for maintaining the endometrium?",Estrogen,Progesterone,LH,FSH,B,moderate
12,Biology,Human Reproduction,"Menstrual cycles cease around 50 years of age, a stage termed:",Menarche,Menopause,Senescence,Andropause,B,easy
12,Biology,Human Reproduction,The process of fusion of a sperm with an ovum is called:,Insemination,Fertilization,Implantation,Syngamy,B,easy
12,Biology,Human Reproduction,Fertilization can only occur if the ovum and sperms are transported simultaneously to the:,Infundibulum,Ampullary region,Isthmus,Uterine cavity,B,hard
12,Biology,Human Reproduction,"During fertilization, a sperm comes in contact with which layer of the ovum?",Corona radiata,Zona pellucida,Plasma membrane,Theca interna,B,moderate
12,Biology,Human Reproduction,The secretions of the acrosome help the sperm enter into the cytoplasm of the ovum through the:,Zona pellucida and plasma membrane,Corona radiata only,Theca externa,Nuclear membrane,A,hard
12,Biology,Human Reproduction,The entry of sperm induces the completion of the meiotic division of the:,Primary oocyte,Secondary oocyte,Oogonium,First polar body,B,moderate
12,Biology,Human Reproduction,The second meiotic division results in the formation of a second polar body and a haploid:,Ootid (ovum),Primary oocyte,Zygote,Blastomere,A,moderate
12,Biology,Human Reproduction,The sex of the baby is determined by the:,Mother's ovum,Father's sperm,Time of fertilization,Temperature of the uterus,B,easy
12,Biology,Human Reproduction,The mitotic divisions starting as the zygote moves through the isthmus are called:,Meiosis,Cleavage,Gastrulation,Organogenesis,B,moderate
12,Biology,Human Reproduction,The daughter cells formed as a result of cleavage are called:,Blastomeres,Trophoblasts,Morulae,Stem cells,A,moderate
12,Biology,Human Reproduction,The embryo with 8 to 16 blastomeres is called a:,Blastocyst,Morula,Gastrula,Zygote,B,moderate
12,Biology,Human Reproduction,The morula continues to divide and transforms into a:,Blastocyst,Gastrula,Foetus,Trophoblast,A,easy
12,Biology,Human Reproduction,The outer layer of cells of the blastocyst is called the:,Inner cell mass,Zona pellucida,Trophoblast,Endoderm,C,moderate
12,Biology,Human Reproduction,The inner group of cells attached to the trophoblast is the:,Morula,Inner cell mass,Blastomere,Chorion,B,moderate
12,Biology,Human Reproduction,Which part of the blastocyst gets attached to the endometrium?,Inner cell mass,Trophoblast,Zona pellucida,Corona radiata,B,hard
12,Biology,Human Reproduction,The embedding of the blastocyst in the endometrium of the uterus is called:,Fertilization,Implantation,Placentation,Gastrulation,B,easy
12,Biology,Human Reproduction,Finger-like projections that appear on the trophoblast after implantation are called:,Fimbriae,Chorionic villi,Uterine villi,Placental folds,B,moderate
12,Biology,Human Reproduction,The chorionic villi and uterine tissue become interdigitated to form the:,Amnion,Placenta,Umbilical cord,Yolk sac,B,easy
12,Biology,Human Reproduction,The placenta connects to the embryo through the:,Fallopian tube,Umbilical cord,Cervical canal,Chorionic villi,B,easy
12,Biology,Human Reproduction,Which of the following hormones is NOT produced by the placenta?,hCG,hPL,Estrogens,LH,D,moderate
12,Biology,Human Reproduction,Which hormone is secreted by the ovary only in the later phase of pregnancy?,hCG,Progesterone,Relaxin,Estrogen,C,hard
12,Biology,Human Reproduction,"hCG, hPL, and relaxin are produced in women:",Throughout their life,Only during puberty,Only during pregnancy,During the menstrual cycle,C,moderate
12,Biology,Human Reproduction,The inner cell mass differentiates into an outer ectoderm and an inner:,Mesoderm,Endoderm,Trophoblast,Chorion,B,easy
12,Biology,Human Reproduction,The cells in the inner cell mass that have the potency to give rise to all tissues are:,Trophoblasts,Stem cells,Somatic cells,Germ cells,B,moderate
12,Biology,Human Reproduction,"In human beings, after one month of pregnancy, the embryo's:",Heart is formed,Limbs develop,Eyelids separate,Hair appears,A,hard
12,Biology,Human Reproduction,The first sign of the growing foetus may be noticed by:,Formation of limbs,Listening to the heart sound,Movement of the foetus,Appearance of hair,B,moderate
12,Biology,Human Reproduction,"By the end of the second month of pregnancy, the foetus develops:",Heart,Limbs and digits,Hair on the head,Separated eyelids,B,hard
12,Biology,Human Reproduction,The first movements of the foetus and appearance of hair on the head are usually observed during the:,Third month,Fourth month,Fifth month,Sixth month,C,hard
12,Biology,Human Reproduction,The average duration of human pregnancy (about 9 months) is called the:,Gestation period,Lactation period,Menstrual cycle,Parturition,A,easy
12,Biology,Human Reproduction,The process of delivery of the foetus is called:,Gestation,Implantation,Parturition,Lactation,C,easy
12,Biology,Human Reproduction,"The signals for parturition originate from the fully developed foetus and the placenta, inducing mild uterine contractions called:",Foetal ejection reflex,Braxton Hicks contractions,Labor pains,Placental reflex,A,hard
12,Biology,Human Reproduction,The foetal ejection reflex triggers the release of which hormone from the maternal pituitary?,Prolactin,Oxytocin,Estrogen,Progesterone,B,moderate
12,Biology,Human Reproduction,Oxytocin acts on the uterine muscle to cause:,Relaxation,Stronger contractions,Endometrium shedding,Cervical closing,B,moderate
12,Biology,Human Reproduction,The milk produced during the initial few days of lactation is called:,Plasma,Colostrum,Serum,Amniotic fluid,B,easy
12,Biology,Human Reproduction,Colostrum contains several antibodies absolutely essential for the newborn. The main antibody is:,IgG,IgM,IgA,IgE,C,hard
12,Biology,Human Reproduction,NEET Level: Statement I: The testes are situated outside the abdominal cavity in the scrotum. Statement II: Scrotum helps in maintaining a higher temperature than normal body temperature for spermatogenesis.,Both statements are correct,"Statement I is correct, II is incorrect","Statement I is incorrect, II is correct",Both statements are incorrect,B,neet
12,Biology,Human Reproduction,NEET Level: Which of the following is correct regarding the pathway of sperm?,Tubuli recti -> Rete testis -> Epididymis -> Vasa efferentia,Rete testis -> Vasa efferentia -> Epididymis -> Vas deferens,Rete testis -> Vas deferens -> Epididymis -> Vasa efferentia,Vasa efferentia -> Rete testis -> Epididymis -> Vas deferens,B,neet
12,Biology,Human Reproduction,NEET Level: Extrusion of the second polar body from the egg nucleus occurs:,Simultaneously with first cleavage,After entry of sperm but before fertilization,After fertilization,Before entry of sperm into ovum,B,neet
12,Biology,Human Reproduction,NEET Level: Capacitation occurs in:,Epididymis,Vas deferens,Female reproductive tract,Rete testis,C,neet
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Spermatogonium?,Haploid (n) / 23,Diploid (2n) / 46,Tetraploid (4n) / 92,Triploid (3n) / 69,B,moderate
12,Biology,Human Reproduction,Fill in the blank: The Spermatogonium in human reproduction is ________.,Triploid (3n) / 69,Diploid (2n) / 46,Haploid (n) / 23,Tetraploid (4n) / 92,B,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Primary spermatocyte?,Tetraploid (4n) / 92,Triploid (3n) / 69,Haploid (n) / 23,Diploid (2n) / 46,D,moderate
12,Biology,Human Reproduction,Fill in the blank: The Primary spermatocyte in human reproduction is ________.,Tetraploid (4n) / 92,Haploid (n) / 23,Diploid (2n) / 46,Triploid (3n) / 69,C,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Secondary spermatocyte?,Haploid (n) / 23,Triploid (3n) / 69,Diploid (2n) / 46,Tetraploid (4n) / 92,A,moderate
12,Biology,Human Reproduction,Fill in the blank: The Secondary spermatocyte in human reproduction is ________.,Tetraploid (4n) / 92,Haploid (n) / 23,Diploid (2n) / 46,Triploid (3n) / 69,B,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Spermatid?,Haploid (n) / 23,Triploid (3n) / 69,Tetraploid (4n) / 92,Diploid (2n) / 46,A,moderate
12,Biology,Human Reproduction,Fill in the blank: The Spermatid in human reproduction is ________.,Haploid (n) / 23,Tetraploid (4n) / 92,Diploid (2n) / 46,Triploid (3n) / 69,A,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Spermatozoon (Sperm)?,Haploid (n) / 23,Tetraploid (4n) / 92,Triploid (3n) / 69,Diploid (2n) / 46,A,moderate
12,Biology,Human Reproduction,Fill in the blank: The Spermatozoon (Sperm) in human reproduction is ________.,Haploid (n) / 23,Tetraploid (4n) / 92,Triploid (3n) / 69,Diploid (2n) / 46,A,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Oogonium?,Triploid (3n) / 69,Diploid (2n) / 46,Haploid (n) / 23,Tetraploid (4n) / 92,B,moderate
12,Biology,Human Reproduction,Fill in the blank: The Oogonium in human reproduction is ________.,Tetraploid (4n) / 92,Triploid (3n) / 69,Haploid (n) / 23,Diploid (2n) / 46,D,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Primary oocyte?,Triploid (3n) / 69,Haploid (n) / 23,Diploid (2n) / 46,Tetraploid (4n) / 92,C,moderate
12,Biology,Human Reproduction,Fill in the blank: The Primary oocyte in human reproduction is ________.,Haploid (n) / 23,Triploid (3n) / 69,Tetraploid (4n) / 92,Diploid (2n) / 46,D,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Secondary oocyte?,Diploid (2n) / 46,Haploid (n) / 23,Tetraploid (4n) / 92,Triploid (3n) / 69,B,moderate
12,Biology,Human Reproduction,Fill in the blank: The Secondary oocyte in human reproduction is ________.,Triploid (3n) / 69,Diploid (2n) / 46,Tetraploid (4n) / 92,Haploid (n) / 23,D,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human First polar body?,Triploid (3n) / 69,Diploid (2n) / 46,Haploid (n) / 23,Tetraploid (4n) / 92,C,moderate
12,Biology,Human Reproduction,Fill in the blank: The First polar body in human reproduction is ________.,Haploid (n) / 23,Diploid (2n) / 46,Triploid (3n) / 69,Tetraploid (4n) / 92,A,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Second polar body?,Tetraploid (4n) / 92,Diploid (2n) / 46,Triploid (3n) / 69,Haploid (n) / 23,D,moderate
12,Biology,Human Reproduction,Fill in the blank: The Second polar body in human reproduction is ________.,Haploid (n) / 23,Tetraploid (4n) / 92,Diploid (2n) / 46,Triploid (3n) / 69,A,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Ovum?,Tetraploid (4n) / 92,Diploid (2n) / 46,Haploid (n) / 23,Triploid (3n) / 69,C,moderate
12,Biology,Human Reproduction,Fill in the blank: The Ovum in human reproduction is ________.,Haploid (n) / 23,Diploid (2n) / 46,Triploid (3n) / 69,Tetraploid (4n) / 92,A,easy
12,Biology,Human Reproduction,What is the ploidy level and typical chromosome number in a human Zygote?,Tetraploid (4n) / 92,Haploid (n) / 23,Diploid (2n) / 46,Triploid (3n) / 69,C,moderate
12,Biology,Human Reproduction,Fill in the blank: The Zygote in human reproduction is ________.,Tetraploid (4n) / 92,Diploid (2n) / 46,Haploid (n) / 23,Triploid (3n) / 69,B,easy
12,Biology,Human Reproduction,What is the primary function of GnRH in human reproduction?,Stimulates the anterior pituitary to release LH and FSH,Helps in the relaxation of pelvic ligaments during birth,Regulate the development and maturation of male accessory organs and spermatogenesis,Causes strong uterine contractions during parturition and milk ejection,A,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Stimulates the anterior pituitary to release LH and FSH'?,GnRH,LH in males,Progesterone,FSH in females,A,hard
12,Biology,Human Reproduction,What is the primary function of LH in males in human reproduction?,Stimulates Sertoli cells to help in spermiogenesis,Stimulates the growth and development of ovarian follicles,Stimulates Leydig cells to synthesize androgens,Promotes proliferation of the endometrium during the follicular phase,C,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Stimulates Leydig cells to synthesize androgens'?,Estrogen,LH in males,LH in females (Surge),Androgens,B,hard
12,Biology,Human Reproduction,What is the primary function of FSH in males in human reproduction?,Maintains the corpus luteum during early pregnancy,Stimulates Sertoli cells to help in spermiogenesis,Induces rupture of Graafian follicle and ovulation,Promotes proliferation of the endometrium during the follicular phase,B,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Stimulates Sertoli cells to help in spermiogenesis'?,FSH in males,LH in females (Surge),Androgens,Progesterone,A,hard
12,Biology,Human Reproduction,What is the primary function of Androgens in human reproduction?,Helps in the relaxation of pelvic ligaments during birth,Stimulates Leydig cells to synthesize androgens,Induces rupture of Graafian follicle and ovulation,Regulate the development and maturation of male accessory organs and spermatogenesis,D,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Regulate the development and maturation of male accessory organs and spermatogenesis'?,Relaxin,LH in males,Oxytocin,Androgens,D,hard
12,Biology,Human Reproduction,What is the primary function of FSH in females in human reproduction?,Maintains the corpus luteum during early pregnancy,Helps in the relaxation of pelvic ligaments during birth,Stimulates the growth and development of ovarian follicles,Maintains the endometrium for implantation and pregnancy,C,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Stimulates the growth and development of ovarian follicles'?,FSH in males,Progesterone,Androgens,FSH in females,D,hard
12,Biology,Human Reproduction,What is the primary function of LH in females (Surge) in human reproduction?,Induces rupture of Graafian follicle and ovulation,Stimulates Leydig cells to synthesize androgens,Stimulates Sertoli cells to help in spermiogenesis,Helps in the relaxation of pelvic ligaments during birth,A,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Induces rupture of Graafian follicle and ovulation'?,hCG,Relaxin,LH in females (Surge),Androgens,C,hard
12,Biology,Human Reproduction,What is the primary function of Estrogen in human reproduction?,Promotes proliferation of the endometrium during the follicular phase,Helps in the relaxation of pelvic ligaments during birth,Stimulates the growth and development of ovarian follicles,Maintains the endometrium for implantation and pregnancy,A,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Promotes proliferation of the endometrium during the follicular phase'?,FSH in males,LH in males,Androgens,Estrogen,D,hard
12,Biology,Human Reproduction,What is the primary function of Progesterone in human reproduction?,Maintains the corpus luteum during early pregnancy,Maintains the endometrium for implantation and pregnancy,Stimulates Sertoli cells to help in spermiogenesis,Stimulates the anterior pituitary to release LH and FSH,B,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Maintains the endometrium for implantation and pregnancy'?,Relaxin,Estrogen,FSH in males,Progesterone,D,hard
12,Biology,Human Reproduction,What is the primary function of hCG in human reproduction?,Stimulates the growth and development of ovarian follicles,Maintains the corpus luteum during early pregnancy,Induces rupture of Graafian follicle and ovulation,Helps in the relaxation of pelvic ligaments during birth,B,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Maintains the corpus luteum during early pregnancy'?,LH in males,LH in females (Surge),Relaxin,hCG,D,hard
12,Biology,Human Reproduction,What is the primary function of Oxytocin in human reproduction?,Induces rupture of Graafian follicle and ovulation,Causes strong uterine contractions during parturition and milk ejection,Stimulates Sertoli cells to help in spermiogenesis,Promotes proliferation of the endometrium during the follicular phase,B,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Causes strong uterine contractions during parturition and milk ejection'?,Oxytocin,FSH in females,LH in females (Surge),Progesterone,A,hard
12,Biology,Human Reproduction,What is the primary function of Relaxin in human reproduction?,Helps in the relaxation of pelvic ligaments during birth,Promotes proliferation of the endometrium during the follicular phase,Stimulates Leydig cells to synthesize androgens,Stimulates the anterior pituitary to release LH and FSH,A,moderate
12,Biology,Human Reproduction,Which hormone is responsible for the following action: 'Helps in the relaxation of pelvic ligaments during birth'?,Relaxin,Oxytocin,LH in males,LH in females (Surge),A,hard
12,Biology,Human Reproduction,Fill in the blank: Humans reproduce ________.,Sexually,Parthenogenetically,Asexually,Vegetatively,A,easy
12,Biology,Human Reproduction,Which word correctly completes this sentence? 'Humans reproduce ________.',Asexually,Parthenogenetically,Vegetatively,Sexually,D,moderate
12,Biology,Human Reproduction,Fill in the blank: Humans are ________.,Ovoviviparous,Marsupials,Oviparous,Viviparous,D,easy
12,Biology,Human Reproduction,Which word correctly completes this sentence? 'Humans are ________.',Marsupials,Ovoviviparous,Oviparous,Viviparous,D,moderate
12,Biology,Human Reproduction,Fill in the blank: The male reproductive system is located in the ________ region.,Abdominal,Thoracic,Cranial,Pelvic,D,easy
12,Biology,Human Reproduction,Which word correctly completes this sentence? 'The male reproductive system is located in the ________ region.',Pelvic,Abdominal,Cranial,Thoracic,A,moderate
12,Biology,Human Reproduction,Fill in the blank: The testes are situated outside the abdominal cavity within a pouch called ________.,Prepuce,Glans,Epididymis,Scrotum,D,easy
12,Biology,Human Reproduction,Which word correctly completes this sentence? 'The testes are situated outside the abdominal cavity within a pouch called ________.',Glans,Epididymis,Scrotum,Prepuce,C,moderate
12,Biology,Human Reproduction,"Fill in the blank: Each testis is oval in shape, with a length of about ________ cm.",4 to 5,7 to 8,1 to 2,10 to 12,A,easy
12,Biology,Human Reproduction,"Which word correctly completes this sentence? 'Each testis is oval in shape, with a length of about ________ cm.'",1 to 2,7 to 8,4 to 5,10 to 12,C,moderate
12,Biology,Human Reproduction,Fill in the blank: The seminiferous tubules open into the vasa efferentia through the ________.,Ejaculatory duct,Vas deferens,Rete testis,Epididymis,C,easy
12,Biology,Human Reproduction,Which word correctly completes this sentence? 'The seminiferous tubules open into the vasa efferentia through the ________.',Rete testis,Epididymis,Ejaculatory duct,Vas deferens,A,moderate
12,Biology,Human Reproduction,Fill in the blank: The epididymis leads to vas deferens that ascends to the abdomen and loops over the ________.,Urinary bladder,Testis,Ureter,Prostate,A,easy
12,Biology,Human Reproduction,Which word correctly completes this sentence? 'The epididymis leads to vas deferens that ascends to the abdomen and loops over the ________.',Urinary bladder,Testis,Ureter,Prostate,A,moderate
12,Biology,Human Reproduction,Fill in the blank: The urethra originates from the urinary bladder and extends through the penis to its external opening called ________.,Glans penis,Urethral meatus,Prepuce,Cervical canal,B,easy
12,Biology,Human Reproduction,Which word correctly completes this sentence? 'The urethra originates from the urinary bladder and extends through the penis to its external opening called ________.',Cervical canal,Glans penis,Prepuce,Urethral meatus,D,moderate
