Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Biology,Reproductive Health,Nirodh is a popular brand of:,Oral pills,IUDs,Condoms for the male,Implants,C,easy
12,Biology,Reproductive Health,Which of the following barrier methods are reusable?,Condoms,"Diaphragms, cervical caps and vaults",Copper-T,Progestasert,B,moderate
12,Biology,Reproductive Health,Which of the following is a non-medicated IUD?,CuT,Cu7,Lippes loop,LNG-20,C,moderate
12,Biology,Reproductive Health,The copper ions released from copper-releasing IUDs:,Prevent ovulation,Make the uterus unsuitable for implantation,Suppress sperm motility and the fertilising capacity of sperms,Make the cervix hostile to sperms,C,hard
12,Biology,Reproductive Health,Which of the following is a hormone-releasing IUD?,Multiload 375,Lippes loop,Cu7,Progestasert,D,moderate
12,Biology,Reproductive Health,Hormone-releasing IUDs make the uterus unsuitable for implantation and the cervix hostile to the:,Ovum,Sperms,Zygote,Blastocyst,B,moderate
12,Biology,Reproductive Health,Oral contraceptives primarily consist of small doses of:,Estrogens only,Progestogens or progestogen-estrogen combinations,Testosterone,Oxytocin,B,easy
12,Biology,Reproductive Health,'Saheli' is a new oral contraceptive for the females that contains a:,Steroidal preparation,Non-steroidal preparation,High dose of estrogen,Spermicidal cream,B,easy
12,Biology,Reproductive Health,Surgical methods of contraception are also called:,Sterilization,Immunization,Barrier methods,Hormonal methods,A,easy
12,Biology,Reproductive Health,"In vasectomy, a small part of which structure is removed or tied up through a small incision on the scrotum?",Epididymis,Vas deferens,Seminiferous tubules,Ejaculatory duct,B,easy
12,Biology,Reproductive Health,"In tubectomy, a small part of which structure is removed or tied up?",Uterus,Cervix,Fallopian tube,Ovary,C,easy
12,Biology,Reproductive Health,Medical Termination of Pregnancy (MTP) was legalized in India in which year?,1951,1971,1991,2001,B,moderate
12,Biology,Reproductive Health,MTPs are considered relatively safe during which trimester of pregnancy?,First trimester,Second trimester,Third trimester,They are never safe,A,easy
12,Biology,Reproductive Health,Which of the following is completely curable if detected early and treated properly?,Hepatitis-B,Genital herpes,HIV infection,Syphilis,D,hard
12,Biology,Reproductive Health,Infertility cases due to very low sperm counts in the ejaculates could be corrected by:,GIFT,ICSI,Artificial insemination (AI),ZIFT,C,moderate
12,Biology,Reproductive Health,The transfer of an ovum collected from a donor into the fallopian tube of another female who cannot produce one is called:,ZIFT,GIFT,ICSI,IUT,B,moderate
12,Biology,Reproductive Health,"In IVF, if the embryo has more than 8 blastomeres, it is transferred into the:",Fallopian tube,Uterus,Cervix,Ovary,B,moderate
12,Biology,Reproductive Health,Transfer of zygote or early embryo (up to 8 blastomeres) into the fallopian tube is called:,IUT,ZIFT,GIFT,ICSI,B,moderate
12,Biology,Reproductive Health,Fill in the blank: The reproductive programme RCH stands for Reproductive and ________ Health Care.,Clinical,Community,Child,Citizen,C,moderate
12,Biology,Reproductive Health,Fill in the blank: Aminocentesis is based on the ________ pattern in the amniotic fluid.,Protein,Hormonal,Enzymatic,Chromosomal,D,moderate
12,Biology,Reproductive Health,"Fill in the blank: Diaphragms, cervical caps, and vaults are made of ________.",Rubber,Copper,Plastic,Polyurethane,A,moderate
12,Biology,Reproductive Health,"Fill in the blank: Spermicidal creams, jellies, and foams are usually used along with ________ methods to increase their contraceptive efficiency.",Surgical,Barrier,IUD,Hormonal,B,moderate
12,Biology,Reproductive Health,Fill in the blank: IUDs are inserted by doctors or expert nurses in the uterus through the ________.,Cervix,Fallopian tube,Ovary,Vagina,A,moderate
12,Biology,Reproductive Health,Fill in the blank: The hormone-releasing IUD LNG-20 releases ________.,Estrogen,Testosterone,Levonorgestrel,Progesterone,C,moderate
12,Biology,Reproductive Health,Fill in the blank: Saheli pill is to be taken ________ a week.,Once,Daily,Thrice,Twice,A,moderate
12,Biology,Reproductive Health,Fill in the blank: Surgical intervention blocks gamete ________ and thereby prevents conception.,Maturation,Formation,Transport,Release,C,moderate
12,Biology,Reproductive Health,Fill in the blank: Nearly 45 to 50 ________ MTPs are performed in a year all over the world.,Thousand,Billion,Million,Lakh,C,moderate
12,Biology,Reproductive Health,Fill in the blank: In vitro fertilisation (IVF) involves fertilisation ________ the body.,Within,Near,Outside,Inside,C,moderate
12,Biology,Reproductive Health,Consider the statement: 'Amniocentesis is legally banned for sex determination in India.'. Which of the following is correct?,The statement is only partially correct.,Data insufficient.,The statement is completely correct.,The statement is completely incorrect.,C,neet
12,Biology,Reproductive Health,Consider the statement: 'Lactational amenorrhea method has virtually no side effects.'. Which of the following is correct?,The statement is completely correct.,Data insufficient.,The statement is completely incorrect.,The statement is only partially correct.,A,neet
12,Biology,Reproductive Health,Consider the statement: 'Copper-T prevents the production of ova.'. Which of the following is correct?,The statement is completely incorrect.,Data insufficient.,The statement is completely correct.,The statement is only partially correct.,A,neet
12,Biology,Reproductive Health,Consider the statement: 'Oral pills containing progestogen-estrogen combinations inhibit ovulation and implantation.'. Which of the following is correct?,The statement is completely incorrect.,The statement is completely correct.,Data insufficient.,The statement is only partially correct.,B,neet
12,Biology,Reproductive Health,Consider the statement: 'Vasectomy is highly reversible.'. Which of the following is correct?,The statement is only partially correct.,The statement is completely correct.,Data insufficient.,The statement is completely incorrect.,D,neet
12,Biology,Reproductive Health,Consider the statement: 'All sexually transmitted infections are completely curable.'. Which of the following is correct?,The statement is completely incorrect.,The statement is only partially correct.,The statement is completely correct.,Data insufficient.,A,neet
12,Biology,Reproductive Health,Consider the statement: 'Hepatitis-B and HIV can also be transmitted by sharing of injection needles.'. Which of the following is correct?,The statement is only partially correct.,Data insufficient.,The statement is completely correct.,The statement is completely incorrect.,C,neet
12,Biology,Reproductive Health,"Consider the statement: 'In ICSI, a sperm is directly injected into the ovum.'. Which of the following is correct?",The statement is only partially correct.,The statement is completely incorrect.,Data insufficient.,The statement is completely correct.,D,neet
12,Biology,Reproductive Health,Consider the statement: 'ZIFT involves the transfer of an embryo with more than 8 blastomeres into the fallopian tube.'. Which of the following is correct?,The statement is only partially correct.,The statement is completely correct.,The statement is completely incorrect.,Data insufficient.,C,neet
12,Biology,Reproductive Health,Consider the statement: 'Use of condoms protects the user from contracting STIs and AIDS.'. Which of the following is correct?,Data insufficient.,The statement is completely incorrect.,The statement is only partially correct.,The statement is completely correct.,D,neet
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Periodic abstinence' belong to?,Copper-releasing IUD,Hormonal method (under skin),Hormone-releasing IUD,Natural method,D,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Coitus interruptus' belong to?,Natural method,Surgical method (Female),Hormone-releasing IUD,Oral contraceptive,A,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Lactational amenorrhea' belong to?,Barrier method,Surgical method (Female),Hormonal method (under skin),Natural method,D,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Condom' belong to?,Copper-releasing IUD,Natural method,Non-medicated IUD,Barrier method,D,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Diaphragm' belong to?,Surgical method (Male),Oral contraceptive,Copper-releasing IUD,Barrier method,D,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Cervical cap' belong to?,Surgical method (Male),Oral contraceptive,Hormone-releasing IUD,Barrier method,D,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Vault' belong to?,Barrier method,Non-medicated IUD,Surgical method (Male),Copper-releasing IUD,A,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Lippes loop' belong to?,Copper-releasing IUD,Non-medicated IUD,Surgical method (Female),Barrier method,B,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'CuT' belong to?,Barrier method,Copper-releasing IUD,Surgical method (Male),Non-medicated IUD,B,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Cu7' belong to?,Non-medicated IUD,Surgical method (Female),Hormonal method (under skin),Copper-releasing IUD,D,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Multiload 375' belong to?,Copper-releasing IUD,Barrier method,Natural method,Surgical method (Female),A,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Progestasert' belong to?,Oral contraceptive,Surgical method (Male),Natural method,Hormone-releasing IUD,D,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'LNG-20' belong to?,Hormone-releasing IUD,Hormonal method (under skin),Barrier method,Copper-releasing IUD,A,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Saheli' belong to?,Natural method,Surgical method (Male),Oral contraceptive,Copper-releasing IUD,C,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Implants' belong to?,Barrier method,Oral contraceptive,Hormonal method (under skin),Hormone-releasing IUD,C,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Vasectomy' belong to?,Barrier method,Non-medicated IUD,Surgical method (Male),Surgical method (Female),C,easy
12,Biology,Reproductive Health,Which category of contraceptive methods does 'Tubectomy' belong to?,Non-medicated IUD,Oral contraceptive,Natural method,Surgical method (Female),D,easy
12,Biology,Reproductive Health,Which of the following is an example of a Surgical method (Male)?,Implants,Progestasert,Lactational amenorrhea,Vasectomy,D,moderate
12,Biology,Reproductive Health,Which of the following is an example of a Natural method?,Lippes loop,Periodic abstinence,Implants,LNG-20,B,moderate
12,Biology,Reproductive Health,Which of the following is an example of a Hormonal method (under skin)?,Saheli,Cervical cap,Tubectomy,Implants,D,moderate
12,Biology,Reproductive Health,Which of the following is an example of a Barrier method?,Lippes loop,Condom,LNG-20,Lactational amenorrhea,B,moderate
12,Biology,Reproductive Health,Which of the following is an example of a Non-medicated IUD?,Lippes loop,LNG-20,Cervical cap,Lactational amenorrhea,A,moderate
12,Biology,Reproductive Health,Which of the following is an example of a Copper-releasing IUD?,CuT,Coitus interruptus,Periodic abstinence,Vault,A,moderate
12,Biology,Reproductive Health,Which of the following is an example of a Hormone-releasing IUD?,Progestasert,Implants,Cervical cap,Periodic abstinence,A,moderate
12,Biology,Reproductive Health,Which of the following is an example of a Oral contraceptive?,Vault,Implants,Saheli,Periodic abstinence,C,moderate
12,Biology,Reproductive Health,Which of the following is an example of a Surgical method (Female)?,Tubectomy,Implants,Vault,Vasectomy,A,moderate
12,Biology,Reproductive Health,Syphilis is caused by which type of pathogen?,Fungal,Bacterial,Viral,Protozoan,B,moderate
12,Biology,Reproductive Health,Is Syphilis completely curable if detected early and treated properly? (Based on general NCERT guidelines),It is curable only in males.,"Yes, it is curable.","No, it is not curable at all.",It is curable only in females.,B,hard
12,Biology,Reproductive Health,Gonorrhea is caused by which type of pathogen?,Viral,Bacterial,Fungal,Protozoan,B,moderate
12,Biology,Reproductive Health,Is Gonorrhea completely curable if detected early and treated properly? (Based on general NCERT guidelines),It is curable only in females.,"Yes, it is curable.","No, it is not curable at all.",It is curable only in males.,B,hard
12,Biology,Reproductive Health,Chlamydiasis is caused by which type of pathogen?,Bacterial,Protozoan,Viral,Fungal,A,moderate
12,Biology,Reproductive Health,Is Chlamydiasis completely curable if detected early and treated properly? (Based on general NCERT guidelines),"Yes, it is curable.","No, it is not curable at all.",It is curable only in females.,It is curable only in males.,A,hard
12,Biology,Reproductive Health,Genital herpes is caused by which type of pathogen?,Fungal,Viral,Bacterial,Protozoan,B,moderate
12,Biology,Reproductive Health,Is Genital herpes completely curable if detected early and treated properly? (Based on general NCERT guidelines),It is curable only in males.,"No, it is not completely curable.",It is curable only in females.,"Yes, it is completely curable.",B,hard
12,Biology,Reproductive Health,Genital warts is caused by which type of pathogen?,Bacterial,Viral,Fungal,Protozoan,B,moderate
12,Biology,Reproductive Health,Is Genital warts completely curable if detected early and treated properly? (Based on general NCERT guidelines),It is curable only in females.,"No, it is not curable at all.",It is curable only in males.,"Yes, it is curable.",D,hard
12,Biology,Reproductive Health,Hepatitis-B is caused by which type of pathogen?,Protozoan,Viral,Fungal,Bacterial,B,moderate
12,Biology,Reproductive Health,Is Hepatitis-B completely curable if detected early and treated properly? (Based on general NCERT guidelines),"Yes, it is completely curable.",It is curable only in females.,It is curable only in males.,"No, it is not completely curable.",D,hard
12,Biology,Reproductive Health,HIV/AIDS is caused by which type of pathogen?,Viral,Bacterial,Protozoan,Fungal,A,moderate
12,Biology,Reproductive Health,Is HIV/AIDS completely curable if detected early and treated properly? (Based on general NCERT guidelines),It is curable only in females.,It is curable only in males.,"No, it is not completely curable.","Yes, it is completely curable.",C,hard
12,Biology,Reproductive Health,Trichomoniasis is caused by which type of pathogen?,Protozoan,Fungal,Viral,Bacterial,A,moderate
12,Biology,Reproductive Health,Is Trichomoniasis completely curable if detected early and treated properly? (Based on general NCERT guidelines),It is curable only in males.,"Yes, it is curable.","No, it is not curable at all.",It is curable only in females.,B,hard
12,Biology,Reproductive Health,"In the context of Assisted Reproductive Technologies (ART), what does 'IVF' stand for?",In Vaginal Fertilisation,In Vitro Fertilisation,Internal Vitro Fertilisation,In Vitro Treatment,B,easy
12,Biology,Reproductive Health,Which of the following best describes the ART technique 'IVF'?,Fertilization outside the body in almost similar conditions as that in the body,Direct injection of a sperm into an ovum in the laboratory,Transfer of zygote or early embryo (up to 8 blastomeres) into the fallopian tube,Transfer of an embryo into the female reproductive tract,A,hard
12,Biology,Reproductive Health,"In the context of Assisted Reproductive Technologies (ART), what does 'ET' stand for?",Internal Transfer,Embryo Transfer,Embryo Treatment,Embryo Vaginal,B,easy
12,Biology,Reproductive Health,Which of the following best describes the ART technique 'ET'?,Semen is artificially introduced directly into the uterus of the female,Fertilization outside the body in almost similar conditions as that in the body,Direct injection of a sperm into an ovum in the laboratory,Transfer of an embryo into the female reproductive tract,D,hard
12,Biology,Reproductive Health,"In the context of Assisted Reproductive Technologies (ART), what does 'ZIFT' stand for?",Zygote Vaginal Fallopian Transfer,Internal Intra Fallopian Transfer,Zygote Intra Fallopian Transfer,Zygote Intra Fallopian Treatment,C,easy
12,Biology,Reproductive Health,Which of the following best describes the ART technique 'ZIFT'?,Transfer of zygote or early embryo (up to 8 blastomeres) into the fallopian tube,Semen collected from the husband or donor is artificially introduced into the vagina or uterus,Transfer of embryo with more than 8 blastomeres into the uterus,Semen is artificially introduced directly into the uterus of the female,A,hard
12,Biology,Reproductive Health,"In the context of Assisted Reproductive Technologies (ART), what does 'IUT' stand for?",Internal Uterine Transfer,Intra Vaginal Transfer,Intra Uterine Treatment,Intra Uterine Transfer,D,easy
12,Biology,Reproductive Health,Which of the following best describes the ART technique 'IUT'?,Transfer of an embryo into the female reproductive tract,Transfer of zygote or early embryo (up to 8 blastomeres) into the fallopian tube,Transfer of embryo with more than 8 blastomeres into the uterus,Fertilization outside the body in almost similar conditions as that in the body,C,hard
12,Biology,Reproductive Health,"In the context of Assisted Reproductive Technologies (ART), what does 'GIFT' stand for?",Gamete Intra Fallopian Treatment,Gamete Intra Fallopian Transfer,Internal Intra Fallopian Transfer,Gamete Vaginal Fallopian Transfer,B,easy
12,Biology,Reproductive Health,Which of the following best describes the ART technique 'GIFT'?,Direct injection of a sperm into an ovum in the laboratory,Transfer of embryo with more than 8 blastomeres into the uterus,Transfer of zygote or early embryo (up to 8 blastomeres) into the fallopian tube,Transfer of an ovum collected from a donor into the fallopian tube of another female,D,hard
12,Biology,Reproductive Health,"In the context of Assisted Reproductive Technologies (ART), what does 'ICSI' stand for?",Internal Sperm Injection,Intracytoplasmic Vaginal Injection,Intracytoplasmic Sperm Treatment,Intracytoplasmic Sperm Injection,D,easy
12,Biology,Reproductive Health,Which of the following best describes the ART technique 'ICSI'?,Direct injection of a sperm into an ovum in the laboratory,Transfer of zygote or early embryo (up to 8 blastomeres) into the fallopian tube,Semen is artificially introduced directly into the uterus of the female,Transfer of embryo with more than 8 blastomeres into the uterus,A,hard
12,Biology,Reproductive Health,"In the context of Assisted Reproductive Technologies (ART), what does 'AI' stand for?",Artificial Vaginal,Artificial Insemination,Internal Insemination,Artificial Treatment,B,easy
12,Biology,Reproductive Health,Which of the following best describes the ART technique 'AI'?,Transfer of zygote or early embryo (up to 8 blastomeres) into the fallopian tube,Semen is artificially introduced directly into the uterus of the female,Fertilization outside the body in almost similar conditions as that in the body,Semen collected from the husband or donor is artificially introduced into the vagina or uterus,D,hard
12,Biology,Reproductive Health,"In the context of Assisted Reproductive Technologies (ART), what does 'IUI' stand for?",Intra-Uterine Insemination,Intra-Uterine Treatment,Intra-Uterine Vaginal,Internal Insemination,A,easy
12,Biology,Reproductive Health,Which of the following best describes the ART technique 'IUI'?,Transfer of embryo with more than 8 blastomeres into the uterus,Transfer of an embryo into the female reproductive tract,Semen is artificially introduced directly into the uterus of the female,Transfer of an ovum collected from a donor into the fallopian tube of another female,C,hard
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 1 of pregnancy?,"No, it is highly dangerous in this month.",It is only safe after the 6th month.,MTP is universally banned regardless of the month.,"Yes, it is relatively safe as it falls in the first trimester.",D,moderate
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 2 of pregnancy?,"No, it is highly dangerous in this month.",It is only safe after the 6th month.,"Yes, it is relatively safe as it falls in the first trimester.",MTP is universally banned regardless of the month.,C,moderate
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 3 of pregnancy?,"Yes, it is relatively safe as it falls in the first trimester.","No, it is highly dangerous in this month.",MTP is universally banned regardless of the month.,It is only safe after the 6th month.,A,moderate
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 4 of pregnancy?,"No, second trimester abortions and beyond are much more risky.","Yes, it is completely safe throughout the pregnancy.",It is safe if done without medical supervision.,It is perfectly safe as it is still the first trimester.,A,moderate
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 5 of pregnancy?,"No, second trimester abortions and beyond are much more risky.",It is perfectly safe as it is still the first trimester.,"Yes, it is completely safe throughout the pregnancy.",It is safe if done without medical supervision.,A,moderate
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 6 of pregnancy?,"No, second trimester abortions and beyond are much more risky.",It is perfectly safe as it is still the first trimester.,It is safe if done without medical supervision.,"Yes, it is completely safe throughout the pregnancy.",A,moderate
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 7 of pregnancy?,"Yes, it is completely safe throughout the pregnancy.","No, second trimester abortions and beyond are much more risky.",It is perfectly safe as it is still the first trimester.,It is safe if done without medical supervision.,B,moderate
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 8 of pregnancy?,It is perfectly safe as it is still the first trimester.,"Yes, it is completely safe throughout the pregnancy.",It is safe if done without medical supervision.,"No, second trimester abortions and beyond are much more risky.",D,moderate
12,Biology,Reproductive Health,Is Medical Termination of Pregnancy (MTP) considered relatively safe during month 9 of pregnancy?,It is perfectly safe as it is still the first trimester.,"Yes, it is completely safe throughout the pregnancy.","No, second trimester abortions and beyond are much more risky.",It is safe if done without medical supervision.,C,moderate
12,Biology,Reproductive Health,"During an IVF procedure, if an embryo is formed containing exactly 2 blastomeres, which transfer technique is strictly recommended according to standard protocols?",AI (Artificial Insemination),GIFT (Transfer into the fallopian tube),IUT (Transfer into the uterus),ZIFT (Transfer into the fallopian tube),D,hard
12,Biology,Reproductive Health,"During an IVF procedure, if an embryo is formed containing exactly 4 blastomeres, which transfer technique is strictly recommended according to standard protocols?",IUT (Transfer into the uterus),AI (Artificial Insemination),ZIFT (Transfer into the fallopian tube),GIFT (Transfer into the fallopian tube),C,hard
12,Biology,Reproductive Health,"During an IVF procedure, if an embryo is formed containing exactly 8 blastomeres, which transfer technique is strictly recommended according to standard protocols?",AI (Artificial Insemination),GIFT (Transfer into the fallopian tube),IUT (Transfer into the uterus),ZIFT (Transfer into the fallopian tube),D,hard
12,Biology,Reproductive Health,"During an IVF procedure, if an embryo is formed containing exactly 16 blastomeres, which transfer technique is strictly recommended according to standard protocols?",ZIFT (Transfer into the fallopian tube),GIFT,IUT (Transfer into the uterus),ICSI,C,hard
12,Biology,Reproductive Health,"During an IVF procedure, if an embryo is formed containing exactly 32 blastomeres, which transfer technique is strictly recommended according to standard protocols?",IUT (Transfer into the uterus),ZIFT (Transfer into the fallopian tube),ICSI,GIFT,A,hard
12,Biology,Reproductive Health,Variant 1: Which of the following primarily acts by preventing ovulation?,Oral pills (like Saheli),Copper-releasing IUDs,Tubectomy,Vasectomy,A,moderate
12,Biology,Reproductive Health,Variant 2: Which of the following primarily acts by preventing ovulation?,Condoms,Vasectomy,Oral pills (like Saheli),Tubectomy,C,moderate
12,Biology,Reproductive Health,Variant 3: Which of the following primarily acts by preventing ovulation?,Vasectomy,Oral pills (like Saheli),Tubectomy,Condoms,B,moderate
12,Biology,Reproductive Health,Variant 4: Which of the following primarily acts by preventing ovulation?,Oral pills (like Saheli),Condoms,Copper-releasing IUDs,Tubectomy,A,moderate
12,Biology,Reproductive Health,Variant 5: Which of the following primarily acts by preventing ovulation?,Copper-releasing IUDs,Condoms,Oral pills (like Saheli),Tubectomy,C,moderate
12,Biology,Reproductive Health,Variant 6: Which of the following primarily acts by preventing ovulation?,Condoms,Oral pills (like Saheli),Tubectomy,Hormone-releasing IUDs,B,moderate
12,Biology,Reproductive Health,Variant 7: Which of the following primarily acts by preventing ovulation?,Hormone-releasing IUDs,Tubectomy,Oral pills (like Saheli),Condoms,C,moderate
12,Biology,Reproductive Health,Variant 8: Which of the following primarily acts by preventing ovulation?,Tubectomy,Condoms,Oral pills (like Saheli),Hormone-releasing IUDs,C,moderate
12,Biology,Reproductive Health,Variant 9: Which of the following primarily acts by preventing ovulation?,Oral pills (like Saheli),Tubectomy,Hormone-releasing IUDs,Vasectomy,A,moderate
12,Biology,Reproductive Health,Variant 10: Which of the following primarily acts by preventing ovulation?,Tubectomy,Oral pills (like Saheli),Condoms,Hormone-releasing IUDs,B,moderate
12,Biology,Reproductive Health,Variant 1: Which of the following primarily acts by suppressing sperm motility?,Oral pills (like Saheli),Hormone-releasing IUDs,Vasectomy,Copper-releasing IUDs,D,moderate
12,Biology,Reproductive Health,Variant 2: Which of the following primarily acts by suppressing sperm motility?,Vasectomy,Copper-releasing IUDs,Hormone-releasing IUDs,Tubectomy,B,moderate
12,Biology,Reproductive Health,Variant 3: Which of the following primarily acts by suppressing sperm motility?,Oral pills (like Saheli),Tubectomy,Copper-releasing IUDs,Condoms,C,moderate
12,Biology,Reproductive Health,Variant 4: Which of the following primarily acts by suppressing sperm motility?,Hormone-releasing IUDs,Tubectomy,Copper-releasing IUDs,Vasectomy,C,moderate
12,Biology,Reproductive Health,Variant 5: Which of the following primarily acts by suppressing sperm motility?,Tubectomy,Oral pills (like Saheli),Copper-releasing IUDs,Vasectomy,C,moderate
12,Biology,Reproductive Health,Variant 6: Which of the following primarily acts by suppressing sperm motility?,Copper-releasing IUDs,Oral pills (like Saheli),Tubectomy,Condoms,A,moderate
12,Biology,Reproductive Health,Variant 7: Which of the following primarily acts by suppressing sperm motility?,Copper-releasing IUDs,Tubectomy,Oral pills (like Saheli),Condoms,A,moderate
12,Biology,Reproductive Health,Variant 8: Which of the following primarily acts by suppressing sperm motility?,Copper-releasing IUDs,Vasectomy,Hormone-releasing IUDs,Oral pills (like Saheli),A,moderate
12,Biology,Reproductive Health,Variant 9: Which of the following primarily acts by suppressing sperm motility?,Vasectomy,Tubectomy,Condoms,Copper-releasing IUDs,D,moderate
12,Biology,Reproductive Health,Variant 10: Which of the following primarily acts by suppressing sperm motility?,Hormone-releasing IUDs,Oral pills (like Saheli),Tubectomy,Copper-releasing IUDs,D,moderate
12,Biology,Reproductive Health,Variant 1: Which of the following primarily acts by making the cervix hostile to sperms?,Oral pills (like Saheli),Condoms,Tubectomy,Hormone-releasing IUDs,D,moderate
12,Biology,Reproductive Health,Variant 2: Which of the following primarily acts by making the cervix hostile to sperms?,Oral pills (like Saheli),Tubectomy,Copper-releasing IUDs,Hormone-releasing IUDs,D,moderate
12,Biology,Reproductive Health,Variant 3: Which of the following primarily acts by making the cervix hostile to sperms?,Vasectomy,Tubectomy,Oral pills (like Saheli),Hormone-releasing IUDs,D,moderate
12,Biology,Reproductive Health,Variant 4: Which of the following primarily acts by making the cervix hostile to sperms?,Oral pills (like Saheli),Condoms,Vasectomy,Hormone-releasing IUDs,D,moderate
12,Biology,Reproductive Health,Variant 5: Which of the following primarily acts by making the cervix hostile to sperms?,Oral pills (like Saheli),Tubectomy,Hormone-releasing IUDs,Copper-releasing IUDs,C,moderate
12,Biology,Reproductive Health,Variant 6: Which of the following primarily acts by making the cervix hostile to sperms?,Hormone-releasing IUDs,Oral pills (like Saheli),Copper-releasing IUDs,Condoms,A,moderate
12,Biology,Reproductive Health,Variant 7: Which of the following primarily acts by making the cervix hostile to sperms?,Tubectomy,Condoms,Hormone-releasing IUDs,Vasectomy,C,moderate
12,Biology,Reproductive Health,Variant 8: Which of the following primarily acts by making the cervix hostile to sperms?,Hormone-releasing IUDs,Tubectomy,Vasectomy,Oral pills (like Saheli),A,moderate
12,Biology,Reproductive Health,Variant 9: Which of the following primarily acts by making the cervix hostile to sperms?,Hormone-releasing IUDs,Vasectomy,Oral pills (like Saheli),Condoms,A,moderate
12,Biology,Reproductive Health,Variant 10: Which of the following primarily acts by making the cervix hostile to sperms?,Condoms,Hormone-releasing IUDs,Copper-releasing IUDs,Oral pills (like Saheli),B,moderate
12,Biology,Reproductive Health,Variant 1: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Condoms,Copper-releasing IUDs,Hormone-releasing IUDs,Tubectomy,A,moderate
