Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Physics,Electric Charges and Fields,The electric field at a point on the equatorial line of a dipole is directed:,Parallel to the dipole moment,Antiparallel to the dipole moment,Perpendicular to the dipole moment,At 45 degrees to the dipole moment,B,hard
12,Physics,Electric Charges and Fields,"For a short dipole, the electric field at an axial point is E. The field at an equatorial point at the same distance is:",E,2E,E/2,E/4,C,hard
12,Physics,Electric Charges and Fields,Fill in the blank: Electric charge is strictly ________ in nature.,Variable,Continuous,Massless,Quantized,D,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: The algebraic sum of all charges in an isolated system remains ________.,Negative,Positive,Constant,Zero,C,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: Force between two charges varies ________ as the square of the distance between them.,Exponentially,Linearly,Inversely,Directly,C,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: The value of permittivity of free space (epsilon_0) is ________ C^2/N m^2.,9 x 10^9,8.85 x 10^-12,6.62 x 10^-34,1.6 x 10^-19,B,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: Electric field lines are always ________ to the surface of a conductor.,At 45 degrees,Parallel,Perpendicular,Tangent,C,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: The total electric flux out of a closed surface enclosing a dipole is ________.,Zero,Infinity,q/epsilon_0,2q/epsilon_0,A,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: Electric field due to an infinitely long straight charged wire is inversely proportional to ________.,Distance cubed (r^3),Square root of distance,Distance (r),Distance squared (r^2),C,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: Electric field due to an infinite plane sheet of charge is ________ of the distance from the sheet.,Inversely proportional,Directly proportional,Independent,Exponentially dependent,C,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: The dimensional formula for permittivity of free space is ________.,[M L T^-2 A^-1],[M^-1 L^-2 T^3 A],[M^-1 L^-3 T^4 A^2],[M L^3 T^-4 A^-2],C,moderate
12,Physics,Electric Charges and Fields,Fill in the blank: A proton and an electron have charges of ________ magnitude but opposite signs.,Equal,Unequal,Double,Half,A,moderate
12,Physics,Electric Charges and Fields,Consider the statement: 'Electric field inside a solid conducting sphere is zero.'. Which of the following is correct?,The statement is only partially correct.,The statement is completely correct.,The statement is completely incorrect.,Data insufficient.,B,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'Coulomb's force is a central force.'. Which of the following is correct?,The statement is completely correct.,Data insufficient.,The statement is completely incorrect.,The statement is only partially correct.,A,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'Electric field lines form closed loops.'. Which of the following is correct?,Data insufficient.,The statement is completely correct.,The statement is completely incorrect.,The statement is only partially correct.,C,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'The electrostatic force between two charges depends on the medium between them.'. Which of the following is correct?,The statement is completely incorrect.,The statement is only partially correct.,Data insufficient.,The statement is completely correct.,D,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'A dipole in a non-uniform electric field experiences only a torque.'. Which of the following is correct?,The statement is only partially correct.,The statement is completely incorrect.,Data insufficient.,The statement is completely correct.,B,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'Gauss's law is only applicable to symmetric charge distributions.'. Which of the following is correct?,Data insufficient.,The statement is completely incorrect.,The statement is only partially correct.,The statement is completely correct.,B,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'Electric flux is independent of the shape and size of the Gaussian surface.'. Which of the following is correct?,Data insufficient.,The statement is only partially correct.,The statement is completely correct.,The statement is completely incorrect.,C,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'Two like charges always attract each other.'. Which of the following is correct?,The statement is completely incorrect.,The statement is completely correct.,The statement is only partially correct.,Data insufficient.,A,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'Charge can exist without mass.'. Which of the following is correct?,The statement is only partially correct.,The statement is completely incorrect.,The statement is completely correct.,Data insufficient.,B,neet
12,Physics,Electric Charges and Fields,Consider the statement: 'Mass can exist without charge.'. Which of the following is correct?,The statement is completely correct.,Data insufficient.,The statement is completely incorrect.,The statement is only partially correct.,A,neet
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 1 electrons.,1.60e+00 C (negative),1.60e-19 C (negative),6.25e+18 C (negative),1.60e-19 C (positive),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 4 electrons.,6.40e-19 C (negative),6.40e+00 C (negative),2.50e+19 C (negative),6.40e-19 C (positive),A,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 7 electrons.,1.12e+01 C (negative),4.38e+19 C (negative),1.12e-18 C (positive),1.12e-18 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 10 electrons.,1.60e+01 C (negative),1.60e-18 C (negative),1.60e-18 C (positive),6.25e+19 C (negative),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 13 electrons.,2.08e-18 C (positive),2.08e-18 C (negative),2.08e+01 C (negative),8.12e+19 C (negative),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 16 electrons.,2.56e-18 C (negative),2.56e+01 C (negative),1.00e+20 C (negative),2.56e-18 C (positive),A,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 19 electrons.,1.19e+20 C (negative),3.04e+01 C (negative),3.04e-18 C (negative),3.04e-18 C (positive),C,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 22 electrons.,1.38e+20 C (negative),3.52e+01 C (negative),3.52e-18 C (positive),3.52e-18 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 25 electrons.,1.56e+20 C (negative),4.00e-18 C (negative),4.00e+01 C (negative),4.00e-18 C (positive),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 28 electrons.,1.75e+20 C (negative),4.48e-18 C (positive),4.48e+01 C (negative),4.48e-18 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 31 electrons.,4.96e-18 C (positive),4.96e+01 C (negative),4.96e-18 C (negative),1.94e+20 C (negative),C,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 34 electrons.,5.44e+01 C (negative),2.12e+20 C (negative),5.44e-18 C (positive),5.44e-18 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 37 electrons.,5.92e-18 C (negative),5.92e+01 C (negative),2.31e+20 C (negative),5.92e-18 C (positive),A,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 40 electrons.,6.40e+01 C (negative),6.40e-18 C (negative),2.50e+20 C (negative),6.40e-18 C (positive),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 43 electrons.,6.88e+01 C (negative),6.88e-18 C (positive),2.69e+20 C (negative),6.88e-18 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 46 electrons.,7.36e+01 C (negative),7.36e-18 C (positive),7.36e-18 C (negative),2.88e+20 C (negative),C,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 49 electrons.,7.84e+01 C (negative),7.84e-18 C (positive),3.06e+20 C (negative),7.84e-18 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 52 electrons.,3.25e+20 C (negative),8.32e-18 C (positive),8.32e-18 C (negative),8.32e+01 C (negative),C,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 55 electrons.,8.80e-18 C (positive),3.44e+20 C (negative),8.80e+01 C (negative),8.80e-18 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 58 electrons.,9.28e+01 C (negative),3.62e+20 C (negative),9.28e-18 C (positive),9.28e-18 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 61 electrons.,3.81e+20 C (negative),9.76e-18 C (negative),9.76e+01 C (negative),9.76e-18 C (positive),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 64 electrons.,1.02e+02 C (negative),1.02e-17 C (negative),4.00e+20 C (negative),1.02e-17 C (positive),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 67 electrons.,1.07e-17 C (positive),1.07e+02 C (negative),4.19e+20 C (negative),1.07e-17 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 70 electrons.,1.12e+02 C (negative),1.12e-17 C (positive),4.38e+20 C (negative),1.12e-17 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 73 electrons.,1.17e+02 C (negative),1.17e-17 C (negative),1.17e-17 C (positive),4.56e+20 C (negative),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 76 electrons.,1.22e-17 C (positive),1.22e+02 C (negative),4.75e+20 C (negative),1.22e-17 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 79 electrons.,4.94e+20 C (negative),1.26e-17 C (negative),1.26e+02 C (negative),1.26e-17 C (positive),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 82 electrons.,1.31e-17 C (negative),5.12e+20 C (negative),1.31e+02 C (negative),1.31e-17 C (positive),A,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 85 electrons.,1.36e-17 C (positive),1.36e-17 C (negative),5.31e+20 C (negative),1.36e+02 C (negative),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 88 electrons.,1.41e-17 C (negative),1.41e-17 C (positive),1.41e+02 C (negative),5.50e+20 C (negative),A,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 91 electrons.,1.46e+02 C (negative),5.69e+20 C (negative),1.46e-17 C (positive),1.46e-17 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 94 electrons.,1.50e-17 C (positive),5.88e+20 C (negative),1.50e-17 C (negative),1.50e+02 C (negative),C,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 97 electrons.,1.55e+02 C (negative),1.55e-17 C (negative),1.55e-17 C (positive),6.06e+20 C (negative),B,moderate
12,Physics,Electric Charges and Fields,Calculate the charge on a body if it has an excess of 100 electrons.,1.60e-17 C (positive),1.60e+02 C (negative),6.25e+20 C (negative),1.60e-17 C (negative),D,moderate
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +1 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,1.80 N (repulsive),0.45 N (repulsive),0.90 N (repulsive),0.90 N (attractive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +1 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,0.22 N (attractive),0.22 N (repulsive),0.11 N (repulsive),0.45 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +1 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.20 N (repulsive),0.10 N (repulsive),0.05 N (repulsive),0.10 N (attractive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +1 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.04 N (attractive),0.07 N (repulsive),0.04 N (repulsive),0.02 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +1 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.01 N (repulsive),0.02 N (repulsive),0.00 N (repulsive),0.01 N (attractive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +2 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,0.90 N (repulsive),3.60 N (repulsive),1.80 N (repulsive),1.80 N (attractive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +2 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,0.45 N (repulsive),0.90 N (repulsive),0.22 N (repulsive),0.45 N (attractive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +2 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.10 N (repulsive),0.40 N (repulsive),0.20 N (attractive),0.20 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +2 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.04 N (repulsive),0.07 N (attractive),0.07 N (repulsive),0.14 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +2 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.02 N (repulsive),0.02 N (attractive),0.04 N (repulsive),0.01 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +3 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,1.35 N (repulsive),5.40 N (repulsive),2.70 N (attractive),2.70 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +3 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,0.34 N (repulsive),0.67 N (repulsive),0.67 N (attractive),1.35 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +3 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.30 N (repulsive),0.30 N (attractive),0.15 N (repulsive),0.60 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +3 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.11 N (repulsive),0.11 N (attractive),0.22 N (repulsive),0.05 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +3 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.03 N (attractive),0.03 N (repulsive),0.01 N (repulsive),0.05 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +4 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,1.80 N (repulsive),3.60 N (attractive),7.20 N (repulsive),3.60 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +4 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,0.45 N (repulsive),0.90 N (repulsive),0.90 N (attractive),1.80 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +4 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.40 N (attractive),0.40 N (repulsive),0.80 N (repulsive),0.20 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +4 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.07 N (repulsive),0.14 N (attractive),0.29 N (repulsive),0.14 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +4 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.07 N (repulsive),0.04 N (repulsive),0.04 N (attractive),0.02 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +5 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,9.00 N (repulsive),4.50 N (repulsive),2.25 N (repulsive),4.50 N (attractive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +5 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,2.25 N (repulsive),1.12 N (attractive),1.12 N (repulsive),0.56 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +5 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.50 N (repulsive),0.50 N (attractive),1.00 N (repulsive),0.25 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +5 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.36 N (repulsive),0.18 N (repulsive),0.18 N (attractive),0.09 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +1 µC and +5 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.02 N (repulsive),0.04 N (attractive),0.09 N (repulsive),0.04 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +1 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,1.80 N (repulsive),1.80 N (attractive),3.60 N (repulsive),0.90 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +1 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,0.45 N (attractive),0.90 N (repulsive),0.22 N (repulsive),0.45 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +1 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.20 N (attractive),0.10 N (repulsive),0.20 N (repulsive),0.40 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +1 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.07 N (attractive),0.04 N (repulsive),0.14 N (repulsive),0.07 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +1 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.01 N (repulsive),0.04 N (repulsive),0.02 N (repulsive),0.02 N (attractive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +2 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,3.60 N (attractive),3.60 N (repulsive),1.80 N (repulsive),7.20 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +2 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,0.90 N (attractive),1.80 N (repulsive),0.45 N (repulsive),0.90 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +2 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.80 N (repulsive),0.20 N (repulsive),0.40 N (repulsive),0.40 N (attractive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +2 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.14 N (repulsive),0.14 N (attractive),0.07 N (repulsive),0.29 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +2 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.02 N (repulsive),0.04 N (attractive),0.04 N (repulsive),0.07 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +3 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,2.70 N (repulsive),5.40 N (repulsive),10.80 N (repulsive),5.40 N (attractive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +3 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,1.35 N (attractive),1.35 N (repulsive),2.70 N (repulsive),0.67 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +3 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,1.20 N (repulsive),0.30 N (repulsive),0.60 N (attractive),0.60 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +3 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.22 N (repulsive),0.22 N (attractive),0.43 N (repulsive),0.11 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +3 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.05 N (attractive),0.03 N (repulsive),0.05 N (repulsive),0.11 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +4 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,7.20 N (attractive),14.40 N (repulsive),3.60 N (repulsive),7.20 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +4 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,3.60 N (repulsive),0.90 N (repulsive),1.80 N (repulsive),1.80 N (attractive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +4 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.40 N (repulsive),0.80 N (repulsive),1.60 N (repulsive),0.80 N (attractive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +4 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.58 N (repulsive),0.29 N (attractive),0.29 N (repulsive),0.14 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +4 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.14 N (repulsive),0.07 N (repulsive),0.07 N (attractive),0.04 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +5 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,9.00 N (attractive),18.00 N (repulsive),4.50 N (repulsive),9.00 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +5 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,2.25 N (repulsive),4.50 N (repulsive),1.12 N (repulsive),2.25 N (attractive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +5 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,2.00 N (repulsive),1.00 N (attractive),0.50 N (repulsive),1.00 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +5 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.72 N (repulsive),0.18 N (repulsive),0.36 N (attractive),0.36 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +2 µC and +5 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.18 N (repulsive),0.04 N (repulsive),0.09 N (repulsive),0.09 N (attractive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +1 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,2.70 N (attractive),1.35 N (repulsive),5.40 N (repulsive),2.70 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +1 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,0.67 N (repulsive),0.67 N (attractive),1.35 N (repulsive),0.34 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +1 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.30 N (repulsive),0.60 N (repulsive),0.15 N (repulsive),0.30 N (attractive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +1 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.11 N (attractive),0.22 N (repulsive),0.11 N (repulsive),0.05 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +1 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.05 N (repulsive),0.03 N (attractive),0.03 N (repulsive),0.01 N (repulsive),C,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +2 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,5.40 N (repulsive),10.80 N (repulsive),5.40 N (attractive),2.70 N (repulsive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +2 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,2.70 N (repulsive),1.35 N (repulsive),1.35 N (attractive),0.67 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +2 µC are separated by a distance of 0.3 m in a vacuum. What is the electrostatic force between them?,0.60 N (repulsive),0.30 N (repulsive),1.20 N (repulsive),0.60 N (attractive),A,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +2 µC are separated by a distance of 0.5 m in a vacuum. What is the electrostatic force between them?,0.43 N (repulsive),0.22 N (repulsive),0.11 N (repulsive),0.22 N (attractive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +2 µC are separated by a distance of 1.0 m in a vacuum. What is the electrostatic force between them?,0.05 N (attractive),0.11 N (repulsive),0.03 N (repulsive),0.05 N (repulsive),D,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +3 µC are separated by a distance of 0.1 m in a vacuum. What is the electrostatic force between them?,8.10 N (attractive),8.10 N (repulsive),16.20 N (repulsive),4.05 N (repulsive),B,hard
12,Physics,Electric Charges and Fields,Two point charges of +3 µC and +3 µC are separated by a distance of 0.2 m in a vacuum. What is the electrostatic force between them?,2.02 N (attractive),2.02 N (repulsive),1.01 N (repulsive),4.05 N (repulsive),B,hard
