Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Biology,Sexual Reproduction in Flowering Plants,The hollow foliar structure that encloses the shoot apex and a few leaf primordia in monocots is the:,Coleorhiza,Coleoptile,Scutellum,Hypocotyl,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,Seeds which retain a part of the endosperm as it is not completely used up during embryo development are called:,Non-albuminous,Albuminous,Perispermic,Parthenocarpic,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Which of the following is an example of a non-albuminous seed?,Wheat,Maize,Pea,Castor,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Remnants of the nucellus that are persistent in some seeds (like black pepper and beet) are called:,Endosperm,Perisperm,Pericarp,Aril,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,The integuments of ovules harden as tough protective:,Fruit walls,Seed coats,Perisperms,Endocarps,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,The small pore in the seed coat that facilitates oxygen and water entry during germination is the:,Hilum,Micropyle,Chalaza,Plumule,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,A state of inactivity in a mature seed when metabolic activity slows down is called:,Senescence,Dormancy,Vernalization,Quiescence,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,"As the ovules mature into seeds, the ovary develops into a:",Fruit,Flower,Thalamus,Endosperm,A,easy
12,Biology,Sexual Reproduction in Flowering Plants,"The wall of the ovary develops into the wall of the fruit, called the:",Perisperm,Pericarp,Endocarp,Mesocarp,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,"Fruits in which the thalamus also contributes to fruit formation (e.g., apple, strawberry) are called:",True fruits,False fruits,Parthenocarpic fruits,Aggregate fruits,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fruits that develop only from the ovary without the involvement of other floral parts are called:,False fruits,Parthenocarpic fruits,True fruits,Multiple fruits,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,Fruits that develop without fertilization are called:,Apomictic fruits,Parthenocarpic fruits,False fruits,Fleshy fruits,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Which of the following is a naturally occurring parthenocarpic fruit?,Apple,Strawberry,Banana,Mango,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,Parthenocarpy can be artificially induced through the application of:,Growth hormones,Cold temperatures,Excessive watering,Nitrogen fertilizers,A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,What is the advantage of seeds to angiosperms?,They require water for fertilization,They are exclusively formed by asexual means,They have better adaptive strategies for dispersal to new habitats,They have short viability periods,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"The oldest viable seed, excavated from Arctic Tundra, that germinated after 10,000 years of dormancy is of:",Phoenix dactylifera,Lupinus arcticus,Nelumbo nucifera,Triticum aestivum,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,The viable seed of Date Palm (Phoenix dactylifera) discovered during King Herod's palace excavation was approximately how old?,2000 years,10000 years,500 years,5000 years,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,The phenomenon of producing seeds without fertilization is known as:,Polyembryony,Apomixis,Parthenocarpy,Amphimixis,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Apomixis is a form of:,Sexual reproduction that mimics asexual reproduction,Asexual reproduction that mimics sexual reproduction,Vegetative propagation,Parthenocarpy,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,"In many Citrus and Mango varieties, apomictic embryos arise from:",Synergids,Antipodals,Cells of the nucellus that start dividing and protrude into the embryo sac,The polar nuclei,C,hard
12,Biology,Sexual Reproduction in Flowering Plants,The occurrence of more than one embryo in a seed is referred to as:,Apomixis,Polyembryony,Parthenocarpy,Amphimixis,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,"Fill in the blank: If hybrid seeds are produced every year, it is an expensive process. If hybrids are made into ________, there is no segregation of characters in the progeny.",Clones,Apomicts,Parthenocarps,Mutants,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,Which of the following has proved helpful in preserving pollen as fossils?,Oil content,Cellulosic intine,Sporopollenin,Tapetal fluid,C,neet
12,Biology,Sexual Reproduction in Flowering Plants,Cleistogamous flowers are invariably autogamous because:,They are wind pollinated,They never open,They produce light pollen,They have exposed stigmas,B,neet
12,Biology,Sexual Reproduction in Flowering Plants,Double fertilization is exhibited by:,Algae,Fungi,Angiosperms,Gymnosperms,C,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which one of the following statements is not true?,Pollen grains of many species cause severe allergies,Stored pollen in liquid nitrogen can be used in crop breeding,Tapetum helps in the dehiscence of anther,Exine of pollen grains is made up of sporopollenin,C,neet
12,Biology,Sexual Reproduction in Flowering Plants,Proximal end of the filament of stamen is attached to the:,Placenta,Thalamus or petal,Anther,Connective,B,neet
12,Biology,Sexual Reproduction in Flowering Plants,Filiform apparatus is characteristic feature of:,Aleurone cell,Synergids,Generative cell,Nucellar embryo,B,neet
12,Biology,Sexual Reproduction in Flowering Plants,"In angiosperms, microsporogenesis and megasporogenesis:",Involve meiosis,Occur in ovule,Occur in anther,Form gametes without further divisions,A,neet
12,Biology,Sexual Reproduction in Flowering Plants,Male gametophyte in angiosperms produces:,Single sperm and two vegetative cells,Three sperms,Two sperms and a vegetative cell,Single sperm and a vegetative cell,C,neet
12,Biology,Sexual Reproduction in Flowering Plants,Coconut water from a tender coconut is:,Immature embryo,Free nuclear endosperm,Innermost layers of the seed coat,Degenerated nucellus,B,neet
12,Biology,Sexual Reproduction in Flowering Plants,"Seed coat is not thin, membranous in:",Groundnut,Gram,Maize,Coconut,D,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which of the following fruits is parthenocarpic?,Apple,Jackfruit,Banana,Brinjal,C,neet
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Synergid in a typical angiosperm?,Diploid (2n),Haploid (n),Polyploid,Triploid (3n),B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Synergid in a flowering plant is genetically ________.,Triploid (3n),Haploid (n),Diploid (2n),Polyploid,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Egg cell in a typical angiosperm?,Tetraploid,Triploid (3n),Haploid (n),Diploid (2n),D,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Egg cell in a flowering plant is genetically ________.,Tetraploid,Haploid (n),Diploid (2n),Triploid (3n),C,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Antipodal cell in a typical angiosperm?,Haploid (n),Triploid (3n),Diploid (2n),Tetraploid,A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Antipodal cell in a flowering plant is genetically ________.,Tetraploid,Haploid (n),Diploid (2n),Triploid (3n),B,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Secondary nucleus (before fertilization) in a typical angiosperm?,Haploid (n),Triploid (3n),Tetraploid,Diploid (2n),A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Secondary nucleus (before fertilization) in a flowering plant is genetically ________.,Haploid (n),Tetraploid,Diploid (2n),Triploid (3n),A,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Primary Endosperm Nucleus (PEN) in a typical angiosperm?,Haploid (n),Tetraploid,Triploid (3n),Diploid (2n),A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Primary Endosperm Nucleus (PEN) in a flowering plant is genetically ________.,Haploid (n),Tetraploid,Triploid (3n),Diploid (2n),A,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Zygote in a typical angiosperm?,Triploid (3n),Haploid (n),Diploid (2n),Tetraploid,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Zygote in a flowering plant is genetically ________.,Tetraploid,Triploid (3n),Diploid (2n),Haploid (n),D,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Nucellus in a typical angiosperm?,Triploid (3n),Diploid (2n),Haploid (n),Tetraploid,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Nucellus in a flowering plant is genetically ________.,Diploid (2n),Triploid (3n),Tetraploid,Haploid (n),D,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Integument in a typical angiosperm?,Diploid (2n),Haploid (n),Tetraploid,Triploid (3n),B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Integument in a flowering plant is genetically ________.,Triploid (3n),Diploid (2n),Tetraploid,Haploid (n),D,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Microspore mother cell (MMC) in a typical angiosperm?,Triploid (3n),Diploid (2n),Haploid (n),Tetraploid,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Microspore mother cell (MMC) in a flowering plant is genetically ________.,Haploid (n),Diploid (2n),Triploid (3n),Tetraploid,A,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Megaspore mother cell in a typical angiosperm?,Tetraploid,Diploid (2n),Triploid (3n),Haploid (n),D,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Megaspore mother cell in a flowering plant is genetically ________.,Haploid (n),Tetraploid,Diploid (2n),Triploid (3n),A,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Microspore (Pollen grain) in a typical angiosperm?,Tetraploid,Diploid (2n),Haploid (n),Triploid (3n),C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Microspore (Pollen grain) in a flowering plant is genetically ________.,Haploid (n),Diploid (2n),Triploid (3n),Tetraploid,A,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Vegetative cell in a typical angiosperm?,Tetraploid,Diploid (2n),Haploid (n),Triploid (3n),C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Vegetative cell in a flowering plant is genetically ________.,Tetraploid,Haploid (n),Diploid (2n),Triploid (3n),B,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Generative cell in a typical angiosperm?,Haploid (n),Triploid (3n),Tetraploid,Diploid (2n),A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Generative cell in a flowering plant is genetically ________.,Triploid (3n),Tetraploid,Diploid (2n),Haploid (n),D,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Male gamete in a typical angiosperm?,Haploid (n),Diploid (2n),Triploid (3n),Tetraploid,A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Male gamete in a flowering plant is genetically ________.,Tetraploid,Haploid (n),Triploid (3n),Diploid (2n),B,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Tapetum cell (typical mature) in a typical angiosperm?,Triploid (3n),Haploid (n),Diploid (2n),Polyploid,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Tapetum cell (typical mature) in a flowering plant is genetically ________.,Haploid (n),Diploid (2n),Triploid (3n),Polyploid,A,easy
12,Biology,Sexual Reproduction in Flowering Plants,What is the ploidy level of the Endothecium cell in a typical angiosperm?,Haploid (n),Triploid (3n),Polyploid,Diploid (2n),A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: The Endothecium cell in a flowering plant is genetically ________.,Triploid (3n),Diploid (2n),Haploid (n),Polyploid,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,The technical term for pollination by wind is:,Ornithophily,Anemophily,Myrmecophily,Malacophily,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Maize?,Wind,Birds,Insects,Bats,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Maize exhibits a specific type of pollination known as ________.,Myrmecophily,Ornithophily,Hydrophily,Anemophily,D,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Wheat?,Snails,Water,Bats,Wind,D,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Wheat exhibits a specific type of pollination known as ________.,Anemophily,Malacophily,Hydrophily,Myrmecophily,A,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Grasses?,Water,Ants,Wind,Insects,C,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Grasses exhibits a specific type of pollination known as ________.,Malacophily,Hydrophily,Anemophily,Entomophily,C,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Sugarcane?,Insects,Wind,Bats,Birds,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Sugarcane exhibits a specific type of pollination known as ________.,Chiropterophily,Entomophily,Anemophily,Malacophily,C,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Bamboo?,Wind,Ants,Birds,Bats,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Bamboo exhibits a specific type of pollination known as ________.,Entomophily,Malacophily,Myrmecophily,Anemophily,D,neet
12,Biology,Sexual Reproduction in Flowering Plants,The technical term for pollination by water is:,Chiropterophily,Hydrophily,Entomophily,Anemophily,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Vallisneria?,Ants,Bats,Insects,Water,D,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Vallisneria exhibits a specific type of pollination known as ________.,Malacophily,Hydrophily,Ornithophily,Myrmecophily,B,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Hydrilla?,Snails,Ants,Birds,Water,D,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Hydrilla exhibits a specific type of pollination known as ________.,Hydrophily,Myrmecophily,Ornithophily,Chiropterophily,A,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Zostera?,Water,Wind,Snails,Birds,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Zostera exhibits a specific type of pollination known as ________.,Malacophily,Chiropterophily,Ornithophily,Hydrophily,D,neet
12,Biology,Sexual Reproduction in Flowering Plants,The technical term for pollination by insects is:,Chiropterophily,Malacophily,Ornithophily,Entomophily,D,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Rose?,Insects,Ants,Snails,Birds,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Rose exhibits a specific type of pollination known as ________.,Ornithophily,Malacophily,Chiropterophily,Entomophily,D,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Jasmine?,Water,Birds,Wind,Insects,D,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Jasmine exhibits a specific type of pollination known as ________.,Entomophily,Hydrophily,Chiropterophily,Anemophily,A,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Lotus?,Ants,Snails,Insects,Wind,C,hard
12,Biology,Sexual Reproduction in Flowering Plants,Fill in the blank: Lotus exhibits a specific type of pollination known as ________.,Chiropterophily,Myrmecophily,Entomophily,Malacophily,C,neet
12,Biology,Sexual Reproduction in Flowering Plants,Which agent is primarily responsible for pollination in Water Lily?,Water,Ants,Insects,Birds,C,hard
