Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Chemistry,Electrochemistry,Which type of battery cannot be recharged?,Secondary battery,Primary battery,Fuel cell,Lead-acid battery,B,easy
12,Chemistry,Electrochemistry,"In a dry cell (Leclanché cell), the anode is made of:",Carbon,Zinc,Copper,Lead,B,moderate
12,Chemistry,Electrochemistry,The electrolyte used in a dry cell is a moist paste of:,NH4Cl and ZnCl2,KOH and ZnO,H2SO4,NaCl and H2O,A,moderate
12,Chemistry,Electrochemistry,The lead storage battery is a type of:,Primary cell,Secondary cell,Fuel cell,Concentration cell,B,easy
12,Chemistry,Electrochemistry,"In a fully charged lead-acid battery, the anode is made of:",Lead dioxide (PbO2),Spongy lead (Pb),Lead sulfate (PbSO4),Zinc,B,hard
12,Chemistry,Electrochemistry,"In a fully charged lead-acid battery, the cathode is made of a grid of lead packed with:",Spongy lead (Pb),Lead dioxide (PbO2),Lead sulfate (PbSO4),Manganese dioxide (MnO2),B,hard
12,Chemistry,Electrochemistry,The electrolyte in a lead storage battery is a 38% by mass aqueous solution of:,HCl,HNO3,H2SO4,KOH,C,easy
12,Chemistry,Electrochemistry,Galvanic cells that are designed to convert the energy of combustion of fuels directly into electrical energy are called:,Dry cells,Fuel cells,Solar cells,Secondary cells,B,easy
12,Chemistry,Electrochemistry,Corrosion of iron is essentially an:,Electrochemical phenomenon,Endothermic reaction,Acid-base reaction,Thermal decomposition,A,easy
12,Chemistry,Electrochemistry,"During the rusting of iron, the anode region is where:",Iron is oxidized to Fe2+,Oxygen is reduced to water,Iron is reduced to Fe,Water is oxidized to oxygen,A,moderate
12,Chemistry,Electrochemistry,Fill in the blank: The arrangement consisting of two electrodes dipping in the same or different electrolytes is called a/an ________ cell.,Concentration,Electrolytic,Galvanic,Electrochemical,D,moderate
12,Chemistry,Electrochemistry,"Fill in the blank: In a galvanic cell, electrons flow through the external circuit from ________ to cathode.",Salt bridge,Anode,Electrolyte,Solution,B,moderate
12,Chemistry,Electrochemistry,Fill in the blank: Standard electrode potential is measured at a temperature of ________ K.,298,0,373,273,A,moderate
12,Chemistry,Electrochemistry,Fill in the blank: A substance with a higher standard reduction potential acts as a stronger ________ agent.,Neutralizing,Oxidizing,Reducing,Catalytic,B,moderate
12,Chemistry,Electrochemistry,Fill in the blank: Cell constant is the ratio of distance between the electrodes and their ________.,Mass,Volume,Area of cross-section,Length,C,moderate
12,Chemistry,Electrochemistry,Fill in the blank: Kohlrausch's law is used to determine the limiting molar conductivity of ________ electrolytes.,Weak,Strong,Non-,Metallic,A,moderate
12,Chemistry,Electrochemistry,"Fill in the blank: Faraday's second law states that when the same quantity of electricity is passed through different electrolytes, the masses of substances liberated are proportional to their ________ weights.",Equivalent,Atomic,Molecular,Formula,A,moderate
12,Chemistry,Electrochemistry,Fill in the blank: A fuel cell commonly uses hydrogen and ________ as reactants.,Chlorine,Carbon dioxide,Nitrogen,Oxygen,D,moderate
12,Chemistry,Electrochemistry,Fill in the blank: The chemical formula of rust is hydrated ________.,Iron(II) oxide,Iron(III) oxide,Iron(III) chloride,Iron(II) hydroxide,B,moderate
12,Chemistry,Electrochemistry,Fill in the blank: Protection of iron from corrosion by coating it with zinc is called ________.,Tinning,Galvanization,Anodizing,Electroplating,B,moderate
12,Chemistry,Electrochemistry,Consider the statement: 'The standard electrode potential of fluorine is the highest among all halogens.'. Which of the following is correct?,The statement is completely incorrect.,The statement is completely correct.,The statement is only partially correct.,Data insufficient.,B,neet
12,Chemistry,Electrochemistry,"Consider the statement: 'In an electrolytic cell, a spontaneous chemical reaction produces electrical energy.'. Which of the following is correct?",The statement is only partially correct.,The statement is completely incorrect.,Data insufficient.,The statement is completely correct.,B,neet
12,Chemistry,Electrochemistry,Consider the statement: 'The Nernst equation shows that cell potential increases with an increase in the concentration of products.'. Which of the following is correct?,The statement is completely correct.,The statement is only partially correct.,Data insufficient.,The statement is completely incorrect.,D,neet
12,Chemistry,Electrochemistry,Consider the statement: 'Specific conductivity decreases with dilution.'. Which of the following is correct?,The statement is completely correct.,The statement is only partially correct.,Data insufficient.,The statement is completely incorrect.,A,neet
12,Chemistry,Electrochemistry,Consider the statement: 'Molar conductivity of a strong electrolyte increases significantly upon dilution compared to a weak electrolyte.'. Which of the following is correct?,The statement is completely incorrect.,Data insufficient.,The statement is only partially correct.,The statement is completely correct.,A,neet
12,Chemistry,Electrochemistry,"Consider the statement: 'Kohlrausch's law implies that at infinite dilution, each ion makes a definite contribution to the molar conductivity.'. Which of the following is correct?",Data insufficient.,The statement is only partially correct.,The statement is completely correct.,The statement is completely incorrect.,C,neet
12,Chemistry,Electrochemistry,"Consider the statement: 'During discharging of a lead storage battery, sulfuric acid is consumed.'. Which of the following is correct?",Data insufficient.,The statement is completely incorrect.,The statement is completely correct.,The statement is only partially correct.,C,neet
12,Chemistry,Electrochemistry,Consider the statement: 'Fuel cells are highly efficient and pollution-free.'. Which of the following is correct?,The statement is only partially correct.,The statement is completely incorrect.,The statement is completely correct.,Data insufficient.,C,neet
12,Chemistry,Electrochemistry,Consider the statement: 'The process of electrolysis is non-spontaneous.'. Which of the following is correct?,The statement is completely incorrect.,The statement is only partially correct.,The statement is completely correct.,Data insufficient.,C,neet
12,Chemistry,Electrochemistry,Consider the statement: 'The standard potential of a cell can be negative.'. Which of the following is correct?,Data insufficient.,The statement is completely correct.,The statement is completely incorrect.,The statement is only partially correct.,C,neet
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Cu2+/Cu half-cells acting as anode and cathode respectively. (E° Cu2+/Cu = 0.34 V, E° Zn2+/Zn = -0.76 V)",1.10 V,0.42 V,-1.10 V,-0.42 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Ag+/Ag half-cells acting as anode and cathode respectively. (E° Ag+/Ag = 0.8 V, E° Zn2+/Zn = -0.76 V)",-0.75 V,0.04 V,1.56 V,-1.56 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Ni2+/Ni half-cells acting as anode and cathode respectively. (E° Ni2+/Ni = -0.25 V, E° Zn2+/Zn = -0.76 V)",-0.51 V,-1.01 V,1.01 V,0.51 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Fe2+/Fe half-cells acting as anode and cathode respectively. (E° Fe2+/Fe = -0.44 V, E° Zn2+/Zn = -0.76 V)",1.20 V,-1.20 V,-0.32 V,0.32 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Sn2+/Sn half-cells acting as anode and cathode respectively. (E° Sn2+/Sn = -0.14 V, E° Zn2+/Zn = -0.76 V)",-0.90 V,0.90 V,0.62 V,-0.62 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Pb2+/Pb half-cells acting as anode and cathode respectively. (E° Pb2+/Pb = -0.13 V, E° Zn2+/Zn = -0.76 V)",-0.89 V,0.63 V,-0.63 V,0.89 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Cr3+/Cr half-cells acting as anode and cathode respectively. (E° Cr3+/Cr = -0.74 V, E° Zn2+/Zn = -0.76 V)",-1.50 V,1.50 V,0.02 V,-0.02 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Mg2+/Mg half-cells acting as anode and cathode respectively. (E° Mg2+/Mg = -2.37 V, E° Zn2+/Zn = -0.76 V)",-3.13 V,-1.61 V,3.13 V,1.61 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Zn2+/Zn and Al3+/Al half-cells acting as anode and cathode respectively. (E° Al3+/Al = -1.66 V, E° Zn2+/Zn = -0.76 V)",-2.42 V,2.42 V,-0.90 V,0.90 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Zn2+/Zn half-cells acting as anode and cathode respectively. (E° Zn2+/Zn = -0.76 V, E° Cu2+/Cu = 0.34 V)",1.10 V,0.42 V,-0.42 V,-1.10 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Ag+/Ag half-cells acting as anode and cathode respectively. (E° Ag+/Ag = 0.8 V, E° Cu2+/Cu = 0.34 V)",-1.24 V,1.14 V,0.46 V,-0.46 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Ni2+/Ni half-cells acting as anode and cathode respectively. (E° Ni2+/Ni = -0.25 V, E° Cu2+/Cu = 0.34 V)",-0.59 V,0.59 V,0.09 V,-0.04 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Fe2+/Fe half-cells acting as anode and cathode respectively. (E° Fe2+/Fe = -0.44 V, E° Cu2+/Cu = 0.34 V)",-0.10 V,-0.78 V,0.78 V,0.10 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Sn2+/Sn half-cells acting as anode and cathode respectively. (E° Sn2+/Sn = -0.14 V, E° Cu2+/Cu = 0.34 V)",-2.62 V,-0.48 V,0.20 V,0.48 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Pb2+/Pb half-cells acting as anode and cathode respectively. (E° Pb2+/Pb = -0.13 V, E° Cu2+/Cu = 0.34 V)",-0.47 V,0.47 V,0.35 V,0.21 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Cr3+/Cr half-cells acting as anode and cathode respectively. (E° Cr3+/Cr = -0.74 V, E° Cu2+/Cu = 0.34 V)",1.08 V,-1.08 V,0.40 V,-0.40 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Mg2+/Mg half-cells acting as anode and cathode respectively. (E° Mg2+/Mg = -2.37 V, E° Cu2+/Cu = 0.34 V)",2.03 V,2.71 V,-2.03 V,-2.71 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Cu2+/Cu and Al3+/Al half-cells acting as anode and cathode respectively. (E° Al3+/Al = -1.66 V, E° Cu2+/Cu = 0.34 V)",-1.32 V,2.00 V,1.32 V,-2.00 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Zn2+/Zn half-cells acting as anode and cathode respectively. (E° Zn2+/Zn = -0.76 V, E° Ag+/Ag = 0.8 V)",1.56 V,0.04 V,-1.56 V,1.78 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Cu2+/Cu half-cells acting as anode and cathode respectively. (E° Cu2+/Cu = 0.34 V, E° Ag+/Ag = 0.8 V)",1.14 V,0.46 V,-2.86 V,-0.46 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Ni2+/Ni half-cells acting as anode and cathode respectively. (E° Ni2+/Ni = -0.25 V, E° Ag+/Ag = 0.8 V)",1.05 V,0.55 V,-1.79 V,-1.05 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Fe2+/Fe half-cells acting as anode and cathode respectively. (E° Fe2+/Fe = -0.44 V, E° Ag+/Ag = 0.8 V)",-1.24 V,0.36 V,1.24 V,-1.72 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Sn2+/Sn half-cells acting as anode and cathode respectively. (E° Sn2+/Sn = -0.14 V, E° Ag+/Ag = 0.8 V)",-0.94 V,0.94 V,-0.26 V,0.66 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Pb2+/Pb half-cells acting as anode and cathode respectively. (E° Pb2+/Pb = -0.13 V, E° Ag+/Ag = 0.8 V)",0.67 V,-0.93 V,0.93 V,2.43 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Cr3+/Cr half-cells acting as anode and cathode respectively. (E° Cr3+/Cr = -0.74 V, E° Ag+/Ag = 0.8 V)",-2.11 V,1.54 V,-1.54 V,0.06 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Mg2+/Mg half-cells acting as anode and cathode respectively. (E° Mg2+/Mg = -2.37 V, E° Ag+/Ag = 0.8 V)",3.17 V,-1.57 V,-3.17 V,1.57 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ag+/Ag and Al3+/Al half-cells acting as anode and cathode respectively. (E° Al3+/Al = -1.66 V, E° Ag+/Ag = 0.8 V)",-0.86 V,2.46 V,-2.46 V,0.86 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Zn2+/Zn half-cells acting as anode and cathode respectively. (E° Zn2+/Zn = -0.76 V, E° Ni2+/Ni = -0.25 V)",-1.01 V,0.51 V,1.01 V,-0.51 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Cu2+/Cu half-cells acting as anode and cathode respectively. (E° Cu2+/Cu = 0.34 V, E° Ni2+/Ni = -0.25 V)",0.09 V,-2.46 V,-0.59 V,0.59 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Ag+/Ag half-cells acting as anode and cathode respectively. (E° Ag+/Ag = 0.8 V, E° Ni2+/Ni = -0.25 V)",1.05 V,-1.05 V,0.55 V,2.62 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Fe2+/Fe half-cells acting as anode and cathode respectively. (E° Fe2+/Fe = -0.44 V, E° Ni2+/Ni = -0.25 V)",0.69 V,-0.69 V,-0.19 V,0.19 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Sn2+/Sn half-cells acting as anode and cathode respectively. (E° Sn2+/Sn = -0.14 V, E° Ni2+/Ni = -0.25 V)",0.39 V,-0.11 V,0.11 V,-0.39 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Pb2+/Pb half-cells acting as anode and cathode respectively. (E° Pb2+/Pb = -0.13 V, E° Ni2+/Ni = -0.25 V)",0.38 V,-0.12 V,0.12 V,-0.38 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Cr3+/Cr half-cells acting as anode and cathode respectively. (E° Cr3+/Cr = -0.74 V, E° Ni2+/Ni = -0.25 V)",0.99 V,-0.99 V,-0.49 V,0.49 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Mg2+/Mg half-cells acting as anode and cathode respectively. (E° Mg2+/Mg = -2.37 V, E° Ni2+/Ni = -0.25 V)",-2.62 V,2.62 V,-2.12 V,2.12 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Ni2+/Ni and Al3+/Al half-cells acting as anode and cathode respectively. (E° Al3+/Al = -1.66 V, E° Ni2+/Ni = -0.25 V)",-1.41 V,-1.91 V,1.41 V,1.91 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Zn2+/Zn half-cells acting as anode and cathode respectively. (E° Zn2+/Zn = -0.76 V, E° Fe2+/Fe = -0.44 V)",1.20 V,-1.20 V,-0.32 V,0.32 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Cu2+/Cu half-cells acting as anode and cathode respectively. (E° Cu2+/Cu = 0.34 V, E° Fe2+/Fe = -0.44 V)",0.78 V,-0.78 V,0.10 V,-0.10 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Ag+/Ag half-cells acting as anode and cathode respectively. (E° Ag+/Ag = 0.8 V, E° Fe2+/Fe = -0.44 V)",1.24 V,1.20 V,-1.24 V,0.36 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Ni2+/Ni half-cells acting as anode and cathode respectively. (E° Ni2+/Ni = -0.25 V, E° Fe2+/Fe = -0.44 V)",-0.69 V,-0.19 V,0.19 V,0.69 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Sn2+/Sn half-cells acting as anode and cathode respectively. (E° Sn2+/Sn = -0.14 V, E° Fe2+/Fe = -0.44 V)",0.30 V,-0.58 V,-0.30 V,0.58 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Pb2+/Pb half-cells acting as anode and cathode respectively. (E° Pb2+/Pb = -0.13 V, E° Fe2+/Fe = -0.44 V)",0.57 V,-0.57 V,0.31 V,-0.31 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Cr3+/Cr half-cells acting as anode and cathode respectively. (E° Cr3+/Cr = -0.74 V, E° Fe2+/Fe = -0.44 V)",0.30 V,-1.18 V,-0.30 V,1.18 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Mg2+/Mg half-cells acting as anode and cathode respectively. (E° Mg2+/Mg = -2.37 V, E° Fe2+/Fe = -0.44 V)",1.93 V,2.81 V,-1.93 V,-2.81 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Fe2+/Fe and Al3+/Al half-cells acting as anode and cathode respectively. (E° Al3+/Al = -1.66 V, E° Fe2+/Fe = -0.44 V)",2.10 V,1.22 V,-1.22 V,-2.10 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Zn2+/Zn half-cells acting as anode and cathode respectively. (E° Zn2+/Zn = -0.76 V, E° Sn2+/Sn = -0.14 V)",-0.62 V,-0.90 V,0.62 V,0.90 V,A,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Cu2+/Cu half-cells acting as anode and cathode respectively. (E° Cu2+/Cu = 0.34 V, E° Sn2+/Sn = -0.14 V)",-0.48 V,0.20 V,0.48 V,1.12 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Ag+/Ag half-cells acting as anode and cathode respectively. (E° Ag+/Ag = 0.8 V, E° Sn2+/Sn = -0.14 V)",0.66 V,-1.08 V,0.94 V,-0.94 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Ni2+/Ni half-cells acting as anode and cathode respectively. (E° Ni2+/Ni = -0.25 V, E° Sn2+/Sn = -0.14 V)",0.39 V,0.11 V,-0.39 V,-0.11 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Fe2+/Fe half-cells acting as anode and cathode respectively. (E° Fe2+/Fe = -0.44 V, E° Sn2+/Sn = -0.14 V)",0.58 V,-0.30 V,0.30 V,-0.58 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Pb2+/Pb half-cells acting as anode and cathode respectively. (E° Pb2+/Pb = -0.13 V, E° Sn2+/Sn = -0.14 V)",-0.01 V,-0.27 V,0.27 V,0.01 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Cr3+/Cr half-cells acting as anode and cathode respectively. (E° Cr3+/Cr = -0.74 V, E° Sn2+/Sn = -0.14 V)",0.60 V,-0.60 V,0.88 V,-0.88 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Mg2+/Mg half-cells acting as anode and cathode respectively. (E° Mg2+/Mg = -2.37 V, E° Sn2+/Sn = -0.14 V)",2.23 V,-2.51 V,-2.23 V,2.51 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Sn2+/Sn and Al3+/Al half-cells acting as anode and cathode respectively. (E° Al3+/Al = -1.66 V, E° Sn2+/Sn = -0.14 V)",-1.80 V,1.80 V,1.52 V,-1.52 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Pb2+/Pb and Zn2+/Zn half-cells acting as anode and cathode respectively. (E° Zn2+/Zn = -0.76 V, E° Pb2+/Pb = -0.13 V)",0.63 V,-0.89 V,0.89 V,-0.63 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Pb2+/Pb and Cu2+/Cu half-cells acting as anode and cathode respectively. (E° Cu2+/Cu = 0.34 V, E° Pb2+/Pb = -0.13 V)",-0.59 V,0.21 V,-0.47 V,0.47 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Pb2+/Pb and Ag+/Ag half-cells acting as anode and cathode respectively. (E° Ag+/Ag = 0.8 V, E° Pb2+/Pb = -0.13 V)",1.97 V,-0.93 V,0.93 V,0.67 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Pb2+/Pb and Ni2+/Ni half-cells acting as anode and cathode respectively. (E° Ni2+/Ni = -0.25 V, E° Pb2+/Pb = -0.13 V)",0.38 V,-0.12 V,-0.38 V,0.12 V,B,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Pb2+/Pb and Fe2+/Fe half-cells acting as anode and cathode respectively. (E° Fe2+/Fe = -0.44 V, E° Pb2+/Pb = -0.13 V)",0.31 V,-0.57 V,0.57 V,-0.31 V,D,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Pb2+/Pb and Sn2+/Sn half-cells acting as anode and cathode respectively. (E° Sn2+/Sn = -0.14 V, E° Pb2+/Pb = -0.13 V)",0.27 V,0.01 V,-0.01 V,-0.27 V,C,moderate
12,Chemistry,Electrochemistry,"Calculate the standard cell potential (E°cell) for a galvanic cell composed of Pb2+/Pb and Cr3+/Cr half-cells acting as anode and cathode respectively. (E° Cr3+/Cr = -0.74 V, E° Pb2+/Pb = -0.13 V)",-0.87 V,0.61 V,-0.61 V,0.87 V,C,moderate
